projectIdentifier,programArea,programFy,region,state,stateNumberCode,county,countyCode,disasterNumber,projectCounties,projectType,status,recipient,recipientTribalIndicator,subrecipient,subrecipientTribalIndicator,dataSource,dateApproved,dateClosed,dateInitiallyApproved,projectAmount,initialObligationDate,initialObligationAmount,federalShareObligated,subrecipientAdminCostAmt,srmcObligatedAmt,recipientAdminCostAmt,costSharePercentage,benefitCostRatio,netValueBenefits,numberOfFinalProperties,numberOfProperties,id
DR-1307-0012-R,HMGP,2000,1,Vermont,50,Washington,23.0,1307.0,WASHINGTON,403.1: Stormwater Management - Culverts,Closed,Statewide,0.0,Warren (Town of),0.0,HMGP,2004-06-07T00:00:00.000Z,2003-02-01T00:00:00.000Z,2001-09-14T00:00:00.000Z,8806.0,2001-10-12T00:00:00.000Z,7745.0,6605.0,264.0,0.0,137.0,0.75,1.01,9828.0,0,0,6555c1aa-d282-453f-af10-48cdba67c965
DR-4720-0012-R,HMGP,2023,1,Vermont,50,Rutland,21.0,4720.0,RUTLAND,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Approved,Statewide,0.0,Wallingford (Town of),0.0,HMGP,2024-10-02T00:00:00.000Z,,2024-08-28T00:00:00.000Z,188260.0,2024-10-03T00:00:00.000Z,141195.0,141195.0,0.0,0.0,0.0,0.75,0.0,0.0,1,1,4566583f-d29b-42d1-8c1d-9dbdcf52ddbf
DR-4022-0091-R,HMGP,2011,1,Vermont,50,Washington,23.0,4022.0,WASHINGTON,"103.1: Feasibility, Engineering and Design Studies",Closed,Statewide,0.0,Statewide,0.0,HMGP,2021-04-12T00:00:00.000Z,2021-04-12T00:00:00.000Z,2014-09-18T00:00:00.000Z,0.0,2014-09-24T00:00:00.000Z,150000.0,0.0,0.0,0.0,0.0,0.75,1.01,3319484.0,0,0,15376cfb-09ca-4d91-9f57-daff5d0fc5f5
DR-4720-0031-R,HMGP,2023,1,Vermont,50,Washington,23.0,4720.0,WASHINGTON,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Approved,Statewide,0.0,Statewide,0.0,HMGP,2024-10-02T00:00:00.000Z,,2024-08-24T00:00:00.000Z,1089235.0,2024-10-03T00:00:00.000Z,816926.25,816926.25,0.0,0.0,0.0,0.75,0.0,0.0,2,2,fc1801e9-29f2-4dfd-9fdb-6b06f4a259a6
DR-1336-0007-R,HMGP,2000,1,Vermont,50,Washington,23.0,1336.0,WASHINGTON,"301.1: Shoreline Stabilization (Riprap, etc.)",Closed,Statewide,0.0,Waitsfield (Town of),0.0,HMGP,2004-04-22T00:00:00.000Z,2003-11-13T00:00:00.000Z,2002-09-11T00:00:00.000Z,23969.0,2002-11-27T00:00:00.000Z,24249.0,17977.0,719.0,0.0,374.0,0.75,1.13,38845.0,0,0,5cb8866a-3da8-4f4b-8540-a84ba811b187
DR-1307-0010-R,HMGP,2000,1,Vermont,50,Rutland,21.0,1307.0,RUTLAND,403.1: Stormwater Management - Culverts,Closed,Statewide,0.0,Castleton (Town of),0.0,HMGP,2004-04-22T00:00:00.000Z,2003-01-03T00:00:00.000Z,2001-09-14T00:00:00.000Z,10143.0,2001-10-20T00:00:00.000Z,8069.0,7607.0,304.0,0.0,158.0,0.75,0.14,1432.0,0,0,064945bd-ee7f-4679-97f0-56a7b3f18ae7
PDMC-PJ-01-VT-2011-001,PDM,2011,1,Vermont,50,Washington,23.0,,WASHINGTON,"300.6: Vegetation Management - Erosion; 
301.1: Shoreline Stabilization (Riprap, etc.)",Not Approved / Denied,Vermont Emergency Management,0.0,Town of Waitsfield,0.0,eGrants,,,,225038.76,,,,,,,0.75,1.57,376303.0,10,10,e623bada-4c17-41a6-9d7a-3c182b9bf31a
DR-1307-0007-R,HMGP,2000,1,Vermont,50,Rutland,21.0,1307.0,RUTLAND,403.1: Stormwater Management - Culverts,Closed,Statewide,0.0,Castleton (Town of),0.0,HMGP,2004-04-22T00:00:00.000Z,2003-02-01T00:00:00.000Z,2001-09-14T00:00:00.000Z,38152.0,2001-10-12T00:00:00.000Z,30652.0,28614.0,1145.0,0.0,893.0,0.75,1.03,40000.0,0,0,cc715827-bacd-494a-af33-e85760600c8f
FMA-PJ-01-VT-2023-004,FMA,2023,1,Vermont,50,Washington,23.0,,WASHINGTON,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Obligated,Vermont Emergency Management,0.0,Vermont Emergency Management,0.0,eGrants,2024-09-25T00:00:00.000Z,,2024-09-27T00:00:00.000Z,607310.55,2024-09-27T00:00:00.000Z,455482.91,455482.91,,,,0.75,2.0,2.0,1,1,fab478f7-bcdf-4100-8124-460b8a4c2a0d
FMA-PJ-01-VT-2007-001,FMA,2007,1,Vermont,50,Washington,23.0,,WASHINGTON,405.1: Other Minor Flood Control,Not Approved / Denied,Vermont Emergency Management,0.0,City of Montpelier- Public Works Department,0.0,eGrants,,,,325000.0,,,,,,,0.75,2.68,869258.0,1,1,e270297f-83e4-424e-8ded-c9da990bcdee
DR-1336-0016-R,HMGP,2000,1,Vermont,50,Washington,23.0,1336.0,WASHINGTON,106.1: Other Non Construction (Regular Project Only),Closed,Statewide,0.0,Moretown (Town of),0.0,HMGP,2004-06-08T00:00:00.000Z,2002-11-27T00:00:00.000Z,2004-06-08T00:00:00.000Z,1040.0,2004-09-10T00:00:00.000Z,835.0,780.0,31.0,0.0,24.0,0.75,1.0,1040.0,0,0,b43f1da9-227c-478e-9a66-a37738cf6ddb
DR-1428-0010-R,HMGP,2002,1,Vermont,50,Rutland,21.0,1428.0,RUTLAND,204.3: Dry Floodproofing Public Structures - Riverine,Closed,Statewide,0.0,Rutland (Town of),0.0,HMGP,2004-08-23T00:00:00.000Z,2004-07-15T00:00:00.000Z,,0.0,2003-11-05T00:00:00.000Z,1767.0,0.0,0.0,0.0,16.0,0.75,2.0,4400.0,1,1,24653dd3-2f0d-4821-a5fe-d7dae88a56fb
DR-4207-0002-R,HMGP,2015,1,Vermont,50,Rutland,21.0,4207.0,RUTLAND,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Closed,Statewide,0.0,Rutland,0.0,HMGP,2019-07-11T00:00:00.000Z,2019-07-16T00:00:00.000Z,2016-03-03T00:00:00.000Z,102383.0,2016-03-17T00:00:00.000Z,89288.0,76786.87,0.0,0.0,0.0,0.75,0.0,0.0,1,1,46601e3d-abd4-4107-b1ab-4151c617570a
DR-1307-0006-R,HMGP,2000,1,Vermont,50,Rutland,21.0,1307.0,RUTLAND,"402.1: Infrastructure Protective Measures (Roads and Bridges); 
403.1: Stormwater Management - Culverts",Closed,Statewide,0.0,Castleton (Town of),0.0,HMGP,2006-09-20T00:00:00.000Z,2006-09-14T00:00:00.000Z,2001-09-14T00:00:00.000Z,4074.0,2001-10-12T00:00:00.000Z,3273.0,3056.0,122.0,0.0,95.0,0.75,1.02,4406.0,0,0,9c79fd46-dcf4-4dbe-bddd-8f7b8f145042
DR-4207-0003-R,HMGP,2015,1,Vermont,50,Washington,23.0,4207.0,WASHINGTON,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Closed,Statewide,0.0,Barre,0.0,HMGP,2019-05-21T00:00:00.000Z,2019-05-21T00:00:00.000Z,2016-05-17T00:00:00.000Z,99904.0,2016-06-03T00:00:00.000Z,150405.0,74928.18,0.0,0.0,0.0,0.75,0.0,0.0,1,1,8e472721-a75b-44ad-8964-2cc1bae181ae
PDMC-PJ-01-VT-2006-002,PDM,2006,1,Vermont,50,Washington,23.0,,WASHINGTON,403.2: Stormwater Management - Diversions,Not Approved / Denied,Vermont Emergency Management,0.0,Town of Plainfield,0.0,eGrants,,,,30000.0,,,,,,,0.75,2.4,86718.0,1,1,6800c640-072d-44e0-87e1-493266cb94ee
DR-4232-0004-R,HMGP,2015,1,Vermont,50,Washington,23.0,4232.0,WASHINGTON,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Closed,Statewide,0.0,Barre,0.0,HMGP,2018-12-11T00:00:00.000Z,2018-12-11T00:00:00.000Z,2017-01-13T00:00:00.000Z,79195.0,2017-01-17T00:00:00.000Z,85320.0,59396.74,0.0,0.0,0.0,0.75,0.0,0.0,1,1,5ba34142-25db-489a-8242-901ed3702213
DR-1698-0002-R,HMGP,2007,1,Vermont,50,Washington,23.0,1698.0,WASHINGTON,403.2: Stormwater Management - Diversions,Closed,Statewide,0.0,Montpelier,0.0,HMGP,2008-05-13T00:00:00.000Z,2013-01-14T00:00:00.000Z,2008-05-13T00:00:00.000Z,582800.0,2008-05-19T00:00:00.000Z,458935.0,437100.0,12656.0,0.0,0.0,0.75,1.89,1288593.0,0,0,e49ee828-6290-47cb-9761-3d1db27971be
DR-4043-0001-R,HMGP,2012,1,Vermont,50,Rutland,21.0,4043.0,RUTLAND,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Closed,Statewide,0.0,Rutland,0.0,HMGP,2018-11-09T00:00:00.000Z,2018-11-09T00:00:00.000Z,2015-04-10T00:00:00.000Z,154700.0,2015-04-20T00:00:00.000Z,73688.0,116025.0,0.0,0.0,0.0,0.75,0.0,0.0,1,1,bb1ff9df-b488-46df-b154-701d13c6f63a
DR-1428-0008-R,HMGP,2002,1,Vermont,50,Washington,23.0,1428.0,WASHINGTON,"301.1: Shoreline Stabilization (Riprap, etc.)",Closed,Statewide,0.0,Plainfield (Town of),0.0,HMGP,2007-10-18T00:00:00.000Z,2007-09-19T00:00:00.000Z,2003-11-05T00:00:00.000Z,100000.0,2003-11-17T00:00:00.000Z,79560.0,75000.0,3000.0,0.0,1560.0,0.75,11.65,1165181.0,0,0,78af641a-c7f5-438b-bec7-96e9f605cc3f
DR-1428-0006-R,HMGP,2002,1,Vermont,50,Washington,23.0,1428.0,WASHINGTON,"301.1: Shoreline Stabilization (Riprap, etc.)",Closed,Statewide,0.0,Middlesex (Town of),0.0,HMGP,2006-10-23T00:00:00.000Z,2006-11-30T00:00:00.000Z,2003-12-10T00:00:00.000Z,11128.0,2003-12-11T00:00:00.000Z,11139.0,8346.0,334.0,0.0,174.0,0.75,2.35,32920.0,0,0,4d02b867-c44e-45d4-ba2a-98a47df676a9
DR-4445-0003-R,HMGP,2019,1,Vermont,50,Rutland,21.0,4445.0,RUTLAND,200.3: Acquisition of Public Real Property (Structures and Land) - Riverine,Closed,Statewide,0.0,Rutland,0.0,HMGP,2024-03-25T00:00:00.000Z,2024-04-09T00:00:00.000Z,2021-02-16T00:00:00.000Z,195641.86,2021-02-25T00:00:00.000Z,145095.0,146731.4,0.0,0.0,0.0,0.75,0.0,0.0,1,1,3eaa63bf-a8f6-4a9f-b5bf-0b12945ee803
DR-1778-0001-R,HMGP,2008,1,Vermont,50,Rutland,21.0,1778.0,RUTLAND,403.1: Stormwater Management - Culverts,Closed,Statewide,0.0,Pawlet (Town of),0.0,HMGP,2009-08-24T00:00:00.000Z,2013-01-15T00:00:00.000Z,2009-08-24T00:00:00.000Z,60331.0,2009-08-25T00:00:00.000Z,45248.0,45248.0,0.0,0.0,0.0,0.75,1.42,88161.0,0,0,9db45d2f-c295-47c2-ae12-e5ec257134a4
DR-1778-0002-R,HMGP,2008,1,Vermont,50,Rutland,21.0,1778.0,RUTLAND,403.1: Stormwater Management - Culverts,Closed,Statewide,0.0,Pawlet (Town of),0.0,HMGP,2009-08-24T00:00:00.000Z,2013-01-15T00:00:00.000Z,,69815.0,2009-08-26T00:00:00.000Z,52361.0,0.0,0.0,0.0,0.0,0.75,1.21,86058.0,0,0,6653bbe0-f2d2-49cd-87db-ed46fe77d573
DR-1715-0001-R,HMGP,2007,1,Vermont,50,Washington,23.0,1715.0,WASHINGTON,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Closed,Statewide,0.0,Barre (Town of),0.0,HMGP,2012-01-03T00:00:00.000Z,2014-01-02T00:00:00.000Z,2008-02-07T00:00:00.000Z,396916.0,2008-02-11T00:00:00.000Z,344292.0,297687.0,0.0,0.0,0.0,0.75,1.69,737444.0,3,3,67529b13-09a7-4d6f-b4cc-ce568953363b
DR-4720-0015-R,HMGP,2023,1,Vermont,50,Washington,23.0,4720.0,WASHINGTON,200.6: Acquisition of Private Real Property (Structures and Land) - Landslide,Approved,Statewide,0.0,Barre,0.0,HMGP,2024-08-03T00:00:00.000Z,,2024-08-03T00:00:00.000Z,568000.0,2024-08-06T00:00:00.000Z,426000.0,426000.0,0.0,0.0,0.0,0.75,12.52,4481328.0,0,2,de16d71f-a3e7-4812-a7d9-1727971ab173
DR-4120-0002-P,HMGP,2013,1,Vermont,50,Rutland,21.0,4120.0,RUTLAND,91.1: Local Multihazard Mitigation Plan,Closed,Statewide,0.0,Proctor (Town of),0.0,HMGP,2021-03-08T00:00:00.000Z,2021-03-09T00:00:00.000Z,2015-02-10T00:00:00.000Z,6227.49,2015-02-12T00:00:00.000Z,6375.0,4670.62,0.0,0.0,0.0,0.75,0.0,0.0,0,0,a4b96be1-27c1-43a0-9644-e32949b7784a
DR-4022-0005-R,HMGP,2011,1,Vermont,50,Rutland,21.0,4022.0,RUTLAND,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Closed,Statewide,0.0,Danby (Town of),0.0,HMGP,2012-10-03T00:00:00.000Z,2017-12-19T00:00:00.000Z,2012-10-03T00:00:00.000Z,76859.0,2013-03-05T00:00:00.000Z,57644.0,57644.0,0.0,0.0,0.0,0.75,0.0,0.0,1,1,f77f0a71-ac7c-448f-aff7-cd7dab1f45a2
DR-1715-0003-R,HMGP,2007,1,Vermont,50,Washington,23.0,1715.0,WASHINGTON,403.1: Stormwater Management - Culverts,Closed,Statewide,0.0,Moretown (Town of),0.0,HMGP,2012-05-03T00:00:00.000Z,2013-01-14T00:00:00.000Z,2008-08-13T00:00:00.000Z,332314.0,2008-08-18T00:00:00.000Z,214649.0,248964.0,0.0,0.0,0.0,0.75,1.8,552149.0,0,0,a2d5eab1-1cac-4d86-9140-750e022227f6
DR-4720-0024-R,HMGP,2023,1,Vermont,50,Lamoille,15.0,4720.0,LAMOILLE,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Approved,Statewide,0.0,Wolcott (Town of),0.0,HMGP,2024-10-10T00:00:00.000Z,,2024-08-03T00:00:00.000Z,916622.0,2024-12-09T00:00:00.000Z,687466.5,687466.5,0.0,0.0,0.0,0.75,0.0,0.0,1,3,0b0c7ff4-f1ed-4157-a1d8-823fc4ca6b5f
DR-4720-0011-R,HMGP,2023,1,Vermont,50,Lamoille,15.0,4720.0,LAMOILLE,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Approved,Statewide,0.0,Morristown (Town of),0.0,HMGP,2024-10-02T00:00:00.000Z,,2024-08-28T00:00:00.000Z,457500.0,2024-10-28T00:00:00.000Z,343125.0,343125.0,0.0,0.0,0.0,0.75,0.0,0.0,1,1,c8b7f74b-47b2-4119-bf46-90cb59de9d7e
DR-4720-0085,HMGP,2023,1,Vermont,50,Lamoille,15.0,4720.0,LAMOILLE,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Pending,Statewide,0.0,Statewide,0.0,HMGP,,,,264000.0,,,,,,,0.75,0.0,0.0,1,1,6c95b933-bed7-48b6-a3a0-26b4bf84a133
DR-4621-0004-R,HMGP,2021,1,Vermont,50,Lamoille,15.0,4621.0,LAMOILLE,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Approved,Statewide,0.0,Hyde Park (Town of),0.0,HMGP,2024-01-26T00:00:00.000Z,,2024-01-26T00:00:00.000Z,238630.0,2024-03-27T00:00:00.000Z,214767.0,214767.0,0.0,0.0,0.0,0.9,0.0,0.0,0,2,6a113197-b750-42a7-8510-603c66598722
DR-1228-0002-R,HMGP,1998,1,Vermont,50,Lamoille,15.0,1228.0,LAMOILLE,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Closed,,,Cambridge (Town of ),,HMGP-Historical,1998-09-24T00:00:00.000Z,2001-01-03T00:00:00.000Z,,217475.0,,,137230.0,,,,0.63,0.0,0.0,2,2,62b61060-a91f-4f6a-8ca5-e31f7077bdc7
DR-9005-0005-R,PDM,2000,1,Vermont,50,Lamoille,15.0,9005.0,LAMOILLE,90.4: Mitigation Plan - Local Multihazard Mitigation Plan,Closed,,,,,HMGP-Historical,2002-08-12T00:00:00.000Z,,,15010.0,,,12000.0,,,,0.8,0.0,0.0,0,0,45032b1b-8b49-4f7b-afab-b14364a8d2e3
DR-4022-0134-R,HMGP,2011,1,Vermont,50,Lamoille,15.0,4022.0,LAMOILLE,403.1: Stormwater Management - Culverts,Closed,Statewide,0.0,Belvidere (Town of),0.0,HMGP,2023-07-19T00:00:00.000Z,2023-07-20T00:00:00.000Z,2015-12-01T00:00:00.000Z,16147.6,2015-12-03T00:00:00.000Z,58244.0,12110.45,0.0,0.0,0.0,0.75,1.7,131746.0,0,0,385ac464-596d-407c-8318-6f7b9a788c44
DR-4022-0149-R,HMGP,2011,1,Vermont,50,Lamoille,15.0,4022.0,LAMOILLE,402.1: Infrastructure Protective Measures (Roads and Bridges),Closed,Statewide,0.0,Cambridge (Town of),0.0,HMGP,2023-11-29T00:00:00.000Z,2023-11-29T00:00:00.000Z,2016-06-01T00:00:00.000Z,830363.57,2016-06-02T00:00:00.000Z,399938.0,622772.67,0.0,0.0,0.0,0.75,1.02,901830.0,0,0,bef8afe1-b59d-4cc1-a701-beef7cf41f55
DR-1063-0008-R,HMGP,1995,1,Vermont,50,Lamoille,15.0,1063.0,LAMOILLE,300.6: Vegetation Management - Erosion,Closed,,,CAMBRIDGE (TOWN OF),,HMGP-Historical,1997-07-24T00:00:00.000Z,2000-02-14T00:00:00.000Z,,14312.0,,,10734.0,,,,0.75,1.26,20044.0,0,0,d7fd11d4-4037-41e6-ae72-82cf8b90bd46
DR-4762-0002,HMGP,2024,1,Vermont,50,Lamoille,15.0,4762.0,LAMOILLE,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Pending,Statewide,0.0,Statewide,0.0,HMGP,,,,264000.0,,,,,,,0.75,0.0,0.0,1,1,3091e855-9447-472b-a1c4-9d1a5752fefa
DR-1184-0001-R,HMGP,1997,1,Vermont,50,Lamoille,15.0,1184.0,LAMOILLE,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Closed,,,WOLCOTT (TOWN OF),,HMGP-Historical,1998-03-13T00:00:00.000Z,1998-06-02T00:00:00.000Z,,32100.0,,,24075.0,,,,0.75,0.0,0.0,1,1,b09fab59-d02e-447a-a4e3-acb9f7df46f1
DR-1184-0003-R,HMGP,1997,1,Vermont,50,Lamoille,15.0,1184.0,LAMOILLE,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Closed,,,WOLCOTT (TOWN OF),,HMGP-Historical,1998-03-13T00:00:00.000Z,1998-06-02T00:00:00.000Z,,206832.0,,,155124.0,,,,0.75,0.0,0.0,2,2,998cb22f-da85-439d-a707-9c7f4f20dec6
DR-1228-0006-R,HMGP,1998,1,Vermont,50,Lamoille,15.0,1228.0,LAMOILLE,203.3: Wet Floodproofing Public Structures - Riverine,Withdrawn,,,Johnson (Town of),,HMGP-Historical,,2001-01-03T00:00:00.000Z,,0.0,,,0.0,,,,0.0,1.58,11715.0,0,1,73f38ffa-6da5-4feb-950f-8281068efee1
DR-1228-0015-R,HMGP,1998,1,Vermont,50,Lamoille,15.0,1228.0,LAMOILLE,403.1: Stormwater Management - Culverts,Closed,,,STOWE (TOWN OF),,HMGP-Historical,2000-05-03T00:00:00.000Z,2001-09-04T00:00:00.000Z,,617200.0,,,252200.0,,,,0.41,1.97,1380375.0,0,0,6cfa643f-e486-43a2-92cb-4f32963d173a
DR-0875-0003-R,HMGP,1990,1,Vermont,50,Lamoille,15.0,875.0,LAMOILLE,402.1: Infrastructure Protective Measures (Roads and Bridges),Closed,,,STOWE (TOWN OF),,HMGP-Historical,1993-11-16T00:00:00.000Z,1997-05-30T00:00:00.000Z,,54719.0,,,27360.0,,,,0.5,0.0,0.0,0,0,ce92599b-d2f1-4294-9ac6-39fe9e9c7cbc
DR-4720-0030-R,HMGP,2023,1,Vermont,50,Lamoille,15.0,4720.0,LAMOILLE,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Approved,Statewide,0.0,Cambridge (Town of),0.0,HMGP,2024-08-28T00:00:00.000Z,,2024-08-28T00:00:00.000Z,444115.0,,,,,,,0.75,0.0,0.0,0,1,25fc1cf8-60b8-40d1-8374-349cbb39d49f
DR-1184-0015-R,HMGP,1997,1,Vermont,50,Lamoille,15.0,1184.0,LAMOILLE,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Closed,,,Cambridge (Town of ),,HMGP-Historical,1999-07-16T00:00:00.000Z,2001-06-28T00:00:00.000Z,,60000.0,,,45000.0,,,,0.75,0.0,0.0,1,1,b68fb9c6-7f26-4666-b041-53500cb29ab7
DR-1201-0011-R,HMGP,1998,1,Vermont,50,Lamoille,15.0,1201.0,LAMOILLE,302.1: Landslide Stabilization - Structural,Closed,,,CAMBRIDGE (TOWN OF),,HMGP-Historical,1999-06-07T00:00:00.000Z,2001-06-28T00:00:00.000Z,,38517.0,,,28888.0,,,,0.75,1.86,93068.0,0,0,54395809-21f7-4c0f-a9db-5cbb68746d95
DR-1995-0002-P,HMGP,2011,1,Vermont,50,Lamoille,15.0,1995.0,LAMOILLE,91.1: Local Multihazard Mitigation Plan,Closed,Statewide,0.0,Jeffersonville,0.0,HMGP,2016-12-13T00:00:00.000Z,2016-12-14T00:00:00.000Z,2012-04-27T00:00:00.000Z,37944.0,2012-05-07T00:00:00.000Z,29374.0,28458.0,0.0,0.0,0.0,0.75,0.0,0.0,0,0,1a10ffee-f5d3-45f8-9c4e-a828370614e6
DR-4022-0055-F,HMGP,2011,1,Vermont,50,Lamoille,15.0,4022.0,LAMOILLE,"100.1: Public Awareness and Education (Brochures, Workshops, Videos, etc.)",Closed,Statewide,0.0,Statewide,0.0,HMGP,2015-08-13T00:00:00.000Z,2015-08-13T00:00:00.000Z,,0.0,2013-10-25T00:00:00.000Z,35813.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0,0,f16b59b1-fb2e-4ebf-8579-5b2288bd8c3b
DR-4720-0057-R,HMGP,2023,1,Vermont,50,Lamoille,15.0,4720.0,LAMOILLE,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Approved,Statewide,0.0,Statewide,0.0,HMGP,2025-02-14T00:00:00.000Z,,2024-12-16T00:00:00.000Z,5627892.0,2025-04-11T00:00:00.000Z,4220919.0,4220919.0,0.0,0.0,0.0,0.75,2.11,11991166.0,16,16,8c0e933d-2f69-447f-ba56-4da47c051f4f
DR-4445-0002-P,HMGP,2019,1,Vermont,50,Lamoille,15.0,4445.0,LAMOILLE,91.5: Local Multijurisdictional Multihazard Mitigation Plan - UPDATE,Closed,Statewide,0.0,Lamoille (County),0.0,HMGP,2025-02-18T00:00:00.000Z,2025-02-28T00:00:00.000Z,2020-08-25T00:00:00.000Z,19894.92,2020-08-27T00:00:00.000Z,29016.0,14921.17,0.0,0.0,0.0,0.75,0.0,0.0,0,0,2f093200-ca57-42d0-8582-1e621e9676b2
DR-4720-0059-R,HMGP,2023,1,Vermont,50,Lamoille,15.0,4720.0,LAMOILLE,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Approved,Statewide,0.0,Statewide,0.0,HMGP,2024-12-19T00:00:00.000Z,,2024-12-19T00:00:00.000Z,499592.0,2024-12-30T00:00:00.000Z,374694.0,374694.0,0.0,0.0,0.0,0.75,1.0,1.0,1,1,905fb3b7-a823-4f0f-91a5-a58a052f58dc
DR-4720-0061-R,HMGP,2023,1,Vermont,50,Lamoille,15.0,4720.0,LAMOILLE,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Approved,Statewide,0.0,Statewide,0.0,HMGP,2025-02-14T00:00:00.000Z,,2025-02-14T00:00:00.000Z,400840.0,2025-04-25T00:00:00.000Z,300630.0,300630.0,0.0,0.0,0.0,0.75,1.0,1.0,1,1,de5df6cd-8959-445b-9199-14a3c7fd34c8
PDMC-PL-01-VT-2018-007,PDM,2018,1,Vermont,50,Lamoille,15.0,,LAMOILLE,904.2: Advance Assistance (FMA and PDMC),Not Approved / Denied,Vermont Emergency Management,0.0,Village of Jeffersonville,0.0,eGrants,,,,115248.0,,,,,,,0.75,,,0,0,53073be9-6c27-4ff5-95d4-b889c0390b1e
DR-1184-0008-R,HMGP,1997,1,Vermont,50,Lamoille,15.0,1184.0,LAMOILLE,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Closed,,,WOLCOTT (TOWN OF),,HMGP-Historical,1998-08-21T00:00:00.000Z,1999-02-04T00:00:00.000Z,,46672.0,,,35004.0,,,,0.75,0.0,0.0,1,1,17090967-39b2-49bb-b28c-133062f6949d
PDMC-PL-01-VT-2016-005,PDM,2016,1,Vermont,50,Lamoille,15.0,,LAMOILLE,91.3: Local Multihazard Mitigation Plan - UPDATE,Closed,Vermont Division of Emergency Management & Homeland Security,0.0,Town of Eden,0.0,eGrants,2017-03-07T00:00:00.000Z,2021-11-12T00:00:00.000Z,2017-06-20T00:00:00.000Z,12987.44,2017-06-20T00:00:00.000Z,9740.58,9740.58,,,,0.75,,,0,0,961c21f1-3a4f-4b77-b987-b39f8c0bafb4
DR-4720-0002-R,HMGP,2023,1,Vermont,50,Lamoille,15.0,4720.0,LAMOILLE,904.1: Advanced Assistance,Approved,Statewide,0.0,Cambridge (Town of),0.0,HMGP,2025-12-11T00:00:00.000Z,,2024-03-20T00:00:00.000Z,26525.0,2024-03-29T00:00:00.000Z,19893.75,19893.75,0.0,0.0,0.0,0.75,0.0,0.0,0,0,77c6069a-c061-4be9-a642-e8aae715c249
DR-1101-0003-R,HMGP,1996,1,Vermont,50,Lamoille,15.0,1101.0,LAMOILLE,405.1: Other Minor Flood Control,Closed,,,WOLCOTT (TOWN OF),,HMGP-Historical,1998-03-17T00:00:00.000Z,1998-10-07T00:00:00.000Z,,57683.0,,,43262.0,,,,0.75,1.85,126585.0,0,0,4be9fc81-050d-41ce-a138-6ec749e11cf7
DR-4330-0002-P,HMGP,2017,1,Vermont,50,Lamoille,15.0,4330.0,LAMOILLE,91.5: Local Multijurisdictional Multihazard Mitigation Plan - UPDATE,Closed,Statewide,0.0,Hyde Park (Town of),0.0,HMGP,2024-12-17T00:00:00.000Z,2024-12-31T00:00:00.000Z,2018-10-16T00:00:00.000Z,10194.38,2018-11-05T00:00:00.000Z,22483.5,7645.78,0.0,0.0,0.0,0.75,0.0,0.0,0,0,6fd55b18-b611-4d3b-ad01-97aed9bc2c6d
DR-4022-0054-F,HMGP,2011,1,Vermont,50,Lamoille,15.0,4022.0,LAMOILLE,"100.1: Public Awareness and Education (Brochures, Workshops, Videos, etc.)",Closed,Statewide,0.0,Statewide,0.0,HMGP,2015-08-13T00:00:00.000Z,2015-08-13T00:00:00.000Z,,0.0,2013-10-24T00:00:00.000Z,35958.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0,0,32c51c03-b8ca-4057-beb4-5f940eb073b7
DR-4532-0001-R,HMGP,2020,1,Vermont,50,Lamoille,15.0,4532.0,LAMOILLE,402.1: Infrastructure Protective Measures (Roads and Bridges),Approved,Statewide,0.0,VERMONT AGENCY OF TRANSPORTATION,0.0,HMGP,2023-06-20T00:00:00.000Z,,2023-06-20T00:00:00.000Z,539700.0,2023-07-14T00:00:00.000Z,485730.0,485730.0,0.0,26983.94,0.0,0.9,7.15,3958509.0,0,0,2f84b924-3c85-4f6b-8124-458ef9753d10
