agricultureStructureIndicator,asOfDate,basementEnclosureCrawlspaceType,policyCount,crsClassificationCode,dateOfLoss,elevatedBuildingIndicator,elevationCertificateIndicator,elevationDifference,baseFloodElevation,ratedFloodZone,houseWorship,locationOfContents,lowestAdjacentGrade,lowestFloorElevation,numberOfFloorsInTheInsuredBuilding,nonProfitIndicator,obstructionType,occupancyType,originalConstructionDate,originalNBDate,amountPaidOnBuildingClaim,amountPaidOnContentsClaim,amountPaidOnIncreasedCostOfComplianceClaim,postFIRMConstructionIndicator,rateMethod,smallBusinessIndicatorBuilding,totalBuildingInsuranceCoverage,totalContentsInsuranceCoverage,yearOfLoss,primaryResidenceIndicator,buildingDamageAmount,buildingDeductibleCode,netBuildingPaymentAmount,buildingPropertyValue,causeOfDamage,condominiumCoverageTypeCode,contentsDamageAmount,contentsDeductibleCode,netContentsPaymentAmount,contentsPropertyValue,disasterAssistanceCoverageRequired,eventDesignationNumber,ficoNumber,floodCharacteristicsIndicator,floodWaterDuration,floodproofedIndicator,floodEvent,iccCoverage,netIccPaymentAmount,nfipRatedCommunityNumber,nfipCommunityNumberCurrent,nfipCommunityName,nonPaymentReasonContents,nonPaymentReasonBuilding,numberOfUnits,buildingReplacementCost,contentsReplacementCost,replacementCostBasis,stateOwnedIndicator,waterDepth,floodZoneCurrent,buildingDescriptionCode,rentalPropertyIndicator,state,reportedCity,reportedZipCode,countyCode,censusTract,censusBlockGroupFips,latitude,longitude,id
0,2026-02-11T00:00:00.000Z,,1,,2002-06-12T00:00:00.000Z,0,,,,C,0,4.0,,,3.0,0,,1.0,1965-07-01T00:00:00.000Z,1996-04-07T00:00:00.000Z,17458.08,8377.0,0.0,0,1,0,53600.0,37100.0,2002,1,17959.0,1,17458.08,76688.0,2,N,8877.0,1,8377.0,0.0,0.0,,,,0.0,0,,30000.0,0.0,500028.0,,,,,1.0,101360.0,0.0,A,0,2.0,,1.0,0,VT,Currently Unavailable,5851.0,50005.0,50005957200.0,500059572002.0,44.5,-72.0,d507be91-04fe-4dc3-8666-3a5afafce3df
0,2026-02-11T00:00:00.000Z,,1,,2023-12-17T00:00:00.000Z,0,,,,AE,0,4.0,,,2.0,0,,11.0,1975-01-10T00:00:00.000Z,2013-04-26T00:00:00.000Z,43206.91,9000.0,0.0,0,RatingEngine,0,194000.0,9000.0,2023,1,44473.0,2,43206.91,174447.0,2,N,13441.0,2,9000.0,80000.0,,,,,,0,,30000.0,0.0,500308.0,500308.0,"BOLTON, TOWN OF",,,1.0,208436.0,0.0,R,0,2.0,AE,1.0,0,VT,Currently Unavailable,5676.0,50007.0,50023954300.0,500239543003.0,44.4,-72.8,ab746c7f-7cee-4abe-92d6-aef704fef51f
0,2026-02-11T00:00:00.000Z,2.0,1,,2011-08-28T00:00:00.000Z,0,3,-2.0,765.9,AE,0,2.0,,,1.0,0,,11.0,1991-01-01T00:00:00.000Z,2008-06-19T00:00:00.000Z,,,,1,RatingEngine,0,250000.0,100000.0,2011,0,,2,0.0,,,N,,2,0.0,,0.0,,287.0,,0.0,0,Hurricane Irene,30000.0,0.0,500131.0,500131.0,"JAMAICA, TOWN OF",11.0,11.0,1.0,,,A,0,0.0,AE,1.0,0,VT,Currently Unavailable,5343.0,50025.0,50025967400.0,500259674002.0,43.1,-72.8,958897b7-d204-458b-8c39-906430aebf07
0,2026-02-11T00:00:00.000Z,2.0,1,,1991-02-09T00:00:00.000Z,0,,,,A09,0,4.0,,,3.0,0,10.0,2.0,1900-07-01T00:00:00.000Z,1990-11-05T00:00:00.000Z,,,,0,1,0,45000.0,7000.0,1991,1,,9,0.0,,4,N,,9,0.0,,0.0,,,,0.0,0,,,0.0,500028.0,,,,6.0,1.0,,,A,0,,,,0,VT,Currently Unavailable,5851.0,50005.0,50005957200.0,500059572002.0,44.5,-72.0,606c1bd2-b659-4d48-9e80-b742d56f0b60
0,2026-02-11T00:00:00.000Z,1.0,1,,2023-07-11T00:00:00.000Z,0,,,,AE,0,2.0,,,1.0,0,,18.0,1890-01-01T00:00:00.000Z,2016-07-06T00:00:00.000Z,0.0,0.0,0.0,0,RatingEngine,1,0.0,56000.0,2023,0,,,0.0,,2,N,345.0,1,0.0,185000.0,,,,,,0,Vermont/New York Flooding,,0.0,500123.0,500123.0,"WATERBURY, TOWN OF",1.0,,1.0,,0.0,A,0,,AE,8.0,0,VT,Currently Unavailable,5676.0,50023.0,50023954300.0,500239543004.0,44.3,-72.7,360c240f-5813-47c2-ac6b-efe9b7a2ae82
0,2026-02-11T00:00:00.000Z,,1,,2013-05-23T00:00:00.000Z,0,,,,A08,0,3.0,,,1.0,0,,4.0,1972-07-01T00:00:00.000Z,1998-08-14T00:00:00.000Z,17031.76,0.0,0.0,0,1,0,120000.0,0.0,2013,0,18031.0,1,17031.76,36115.0,2,N,,0,0.0,,0.0,,,,0.0,0,,30000.0,0.0,500037.0,,,,,1.0,190080.0,,A,0,28.0,,1.0,0,VT,Currently Unavailable,5465.0,50007.0,50007002800.0,500070028001.0,44.5,-73.0,7ce16de7-89b5-496a-ae3e-c6587bfc6291
0,2026-02-11T00:00:00.000Z,2.0,1,,2011-05-26T00:00:00.000Z,0,,,,A10,0,2.0,,,3.0,0,,4.0,1930-01-01T00:00:00.000Z,1998-09-18T00:00:00.000Z,,,,0,1,0,49500.0,0.0,2011,0,1462.0,5,0.0,552865.0,4,N,,0,0.0,,0.0,,,,0.0,0,,30000.0,0.0,505518.0,,,,1.0,1.0,575901.0,,A,0,1.0,,1.0,0,VT,Currently Unavailable,5602.0,50023.0,50023954900.0,500239549002.0,44.2,-72.6,09290971-664b-4cab-bb21-6b36d25b9d15
0,2026-02-11T00:00:00.000Z,,1,,2023-07-10T00:00:00.000Z,0,,,,AE,0,,,,2.0,0,,11.0,1950-07-01T00:00:00.000Z,2021-12-27T00:00:00.000Z,14315.59,0.0,0.0,0,RatingEngine,0,129000.0,0.0,2023,1,16315.0,2,14315.59,286795.0,1,N,0.0,,0.0,0.0,,,,,0.0,0,Vermont/New York Flooding,30000.0,0.0,500118.0,,"NORTHFIELD, TOWN OF",,,1.0,286795.0,0.0,A,0,0.0,,,0,VT,Currently Unavailable,5663.0,50023.0,50023955501.0,500239555012.0,44.1,-72.7,fcfbc13d-6eef-4933-b891-6b8843bc1408
0,2026-02-11T00:00:00.000Z,2.0,1,,1996-01-19T00:00:00.000Z,0,,,,A,0,,,,3.0,0,,4.0,1974-01-01T00:00:00.000Z,1992-04-09T00:00:00.000Z,,,,0,1,0,60500.0,0.0,1996,0,,5,0.0,,2,N,,0,0.0,,0.0,,990.0,,0.0,0,Flooding,30000.0,0.0,500071.0,,,,99.0,1.0,,,A,0,,,,0,VT,Currently Unavailable,5040.0,50017.0,,,44.1,-72.2,d2028520-b749-4082-b698-c235aa26b9d4
0,2026-02-11T00:00:00.000Z,,1,,2023-07-10T00:00:00.000Z,0,,2.0,708.4,AE,0,4.0,709.6,710.2,2.0,0,,18.0,2012-04-01T00:00:00.000Z,2012-07-25T00:00:00.000Z,135085.78,116000.0,0.0,1,RatingEngine,0,500000.0,150000.0,2023,0,140086.0,5,135085.78,421301.0,2,N,123564.0,5,116000.0,150000.0,,,,,,0,Vermont/New York Flooding,30000.0,0.0,500160.0,500160.0,"WOODSTOCK, TOWN OF",,,1.0,457732.0,0.0,A,0,3.0,AE,1.0,0,VT,Currently Unavailable,5091.0,50027.0,50027965800.0,500279658003.0,43.6,-72.5,aeb647a6-908f-4126-9ae7-0c2f4e5c36ca
