"CID","Community Name","County","Init FHBM Identified","Init FIRM Identified","Curr Eff Map Date","Tribal","Reg-Emer Date","CRS Entry Date","Curr Eff Date","Curr Class","% Disc","Program","Participating Community"
"500163#","ADDISON, TOWN OF","ADDISON COUNTY","11/22/74",="09/18/86",="09/18/86","No",="09/18/86",,,,,"Regular","YES"
"500221#","ALBURGH, TOWN OF","GRAND ISLE COUNTY","11/08/74",="03/16/81",="03/16/81(M)","No",="03/16/81",,,,,"Regular","YES"
,"Village of Alburgh (CID 500222) has merged with the Town of Alburgh.",,,,,"No",,,,,,,"YES"
"500291#","ANDOVER, TOWN OF","WINDSOR COUNTY","12/20/74",="08/05/85",="09/28/07(M)","No",="08/05/85",,,,,"Regular","YES"
"500012A","ARLINGTON, TOWN OF","BENNINGTON COUNTY",="08/02/74",="07/17/86","12/02/15","No",="07/17/86",,,,,"Regular","YES"
"500306","AVERILL, TOWN OF","ESSEX COUNTY",,," ","No",="08/05/14(E)",,,,,"Emergency","YES"
"500100","AVERYS GORE, TOWN OF","ESSEX COUNTY",,," ","No",="08/05/14(E)",,,,,"Emergency","YES"
"500216","BAKERSFIELD, TOWN OF","FRANKLIN COUNTY",="02/07/75",="09/27/85",="09/27/85(M)","No",="09/27/85",,,,,"Regular","YES"
"500298#","BALTIMORE, TOWN OF","WINDSOR COUNTY",,="09/28/07","(NSFHA)","No",="02/29/12",,,,,"Regular","YES"
"500292#","BARNARD, TOWN OF","WINDSOR COUNTY",="09/06/74",="09/18/85",="09/28/07(M)","No",="09/18/85",,,,,"Regular","YES"
"500024#","BARNET, TOWN OF","CALEDONIA COUNTY",="02/22/74",="05/17/88",="05/17/88","No",="05/17/88",,,,,"Regular","YES"
"500105#","BARRE, CITY OF","WASHINGTON COUNTY",="07/26/74",="01/17/85",="03/19/13","No",="01/17/85",,,,,"Regular","YES"
"500273#","BARRE, TOWN OF","WASHINGTON COUNTY",="08/30/74",="06/15/78",="03/19/13","No",="06/15/78",,,,,"Regular","YES"
"500081#","BARTON, TOWN OF","ORLEANS COUNTY","11/15/74",="04/03/78",="02/02/94","No",="04/03/78",,,,,"Regular","YES"
"500082#","BARTON, VILLAGE OF","ORLEANS COUNTY","11/08/74",="04/03/78",="02/02/94","No",="04/03/78",,,,,"Regular","YES"
"500125#","BELLOWS FALLS, VILLAGE OF","WINDHAM COUNTY",="08/16/74",="07/16/79",="09/28/07","No",="07/16/79",,,,,"Regular","YES"
"500227#","BELVIDERE, TOWN OF","LAMOILLE COUNTY","12/06/74","10/15/80","10/15/80","No",="08/07/01",,,,,"Regular","YES"
"500013A","BENNINGTON, TOWN OF","BENNINGTON COUNTY",="09/13/74",="06/17/86","12/02/15","No",="06/17/86","10/01/93","10/01/93","9 ",="05%","Regular","YES"
"500259#","BENSON, TOWN OF","RUTLAND COUNTY","12/13/74",="09/27/85",="08/28/08(M)","No",="09/27/85",,,,,"Regular","YES"
"500049#","BERKSHIRE, TOWN OF","FRANKLIN COUNTY",="05/31/74",="06/01/83",="06/01/83","No",="06/01/83",,,,,"Regular","YES"
"500106#","BERLIN, TOWN OF","WASHINGTON COUNTY",="02/15/74",="08/15/84",="03/19/13","No",="08/15/84",="05/01/17",="04/01/22","7 ","15%","Regular","YES"
"500143#","BETHEL, TOWN OF","WINDSOR COUNTY",="02/08/74",="08/05/91",="09/28/07","No",="08/05/91",,,,,"Regular","YES"
"500045#","BLOOMFIELD, TOWN OF","ESSEX COUNTY",="09/06/74",="06/03/91",="06/03/91","No",="06/03/91",,,,,"Regular","YES"
"500308#","BOLTON, TOWN OF","CHITTENDEN COUNTY",="02/21/75",="04/01/81",="08/04/14","No",="04/01/81",,,,,"Regular","YES"
"500069#","BRADFORD, TOWN OF","ORANGE COUNTY",="01/31/75",="06/03/91",="06/03/91","No",="06/03/91",,,,,"Regular","YES"
"500235#","BRAINTREE, TOWN OF","ORANGE COUNTY","12/13/74",="09/27/85",="09/27/85(M)","No",="09/27/85",,,,,"Regular","YES"
"500090#","BRANDON, TOWN OF","RUTLAND COUNTY",="09/06/74",="05/15/78",="08/28/08","No",="05/15/78",,,,,"Regular","YES"
"500126#","BRATTLEBORO, TOWN OF","WINDHAM COUNTY",="02/08/74","12/04/85",="09/28/07","No","12/04/85","10/01/91",="04/01/23","9 ",="05%","Regular","YES"
"500144#","BRIDGEWATER, TOWN OF","WINDSOR COUNTY",="08/16/74",="07/02/80",="09/28/07","No",="07/02/80",,,,,"Regular","YES"
"500164#","BRIDPORT, TOWN OF","ADDISON COUNTY","11/22/74",="02/15/79",="08/15/79","No",="08/15/79",,,,,"Regular","YES"
"500205#","BRIGHTON, TOWN OF","ESSEX COUNTY",="09/20/74",="05/04/89",="03/05/90","No",="05/04/89",,,,,"Regular","YES"
"500001#","BRISTOL, TOWN OF","ADDISON COUNTY",="08/09/74",="08/05/86",="08/05/86","No",="08/05/86",,,,,"Regular","YES"
"500236#","BROOKFIELD, TOWN OF","ORANGE COUNTY","12/13/74",="09/29/78",="09/29/78","No",="09/09/08",,,,,"Regular","YES"
"500280#","BROOKLINE, TOWN OF","WINDHAM COUNTY","12/06/74",="09/04/85",="09/28/07(M)","No",="09/04/85",,,,,"Regular","YES"
"500206#","BRUNSWICK, TOWN OF","ESSEX COUNTY","10/12/79",="06/17/91",="06/17/91","No",="06/17/91",,,,,"Regular","YES"
"500025#","BURKE, TOWN OF","CALEDONIA COUNTY",="06/07/74",="06/04/80",="06/04/80","No",="06/04/80",,,,,"Regular","YES"
,"Includes the Village of West Burke (CID 500208).",,,,,"No",,,,,,,"YES"
"500032#","BURLINGTON, CITY OF","CHITTENDEN COUNTY",="07/19/74","11/15/78",="07/18/11","No","11/15/78",,,,,"Regular","YES"
"500108#","CABOT, TOWN OF","WASHINGTON COUNTY",="04/16/76",="09/18/85",="03/19/13(M)","No",="09/18/85",,,,,"Regular","YES"
,"As of 1/1/2011, the Village of Cabot merged into the Town of Cabot. See General Assembly of the State of Vermont H.794",,,,,"No",,,,,,,"YES"
"500109#","CALAIS, TOWN OF","WASHINGTON COUNTY",="06/28/74",="09/04/85",="03/19/13","No",="09/04/85",,,,,"Regular","YES"
"500061#","CAMBRIDGE, TOWN OF","LAMOILLE COUNTY",="06/28/74",="06/15/83",="06/15/83","No",="06/15/83",,,,,"Regular","YES"
"500228#","CAMBRIDGE, VILLAGE OF","LAMOILLE COUNTY",="08/09/74",="06/01/83",="06/01/83","No",="06/01/83",,,,,"Regular","YES"
"500046#","CANAAN, TOWN OF","ESSEX COUNTY",="05/31/74",="09/30/80",="09/30/80","No",="09/30/80",,,,,"Regular","YES"
"500091#","CASTLETON, TOWN OF","RUTLAND COUNTY",="08/30/74",="07/16/84",="08/28/08","No",="07/16/84",,,,,"Regular","YES"
"500145#","CAVENDISH, TOWN OF","WINDSOR COUNTY",="02/08/74","10/15/81",="09/28/07","No","10/15/81",,,,,"Regular","YES"
,"INCLUDES THE VILLAGE OF PROCTORSVILLE.",,,,,"No",,,,,,,"YES"
"500309#","CHARLOTTE, TOWN OF","CHITTENDEN COUNTY",="01/03/75",="09/03/80",="07/18/11","No",="09/03/80",,,,,"Regular","YES"
"500070#","CHELSEA, TOWN OF","ORANGE COUNTY",="06/28/74",="08/15/80",="08/15/80","No",="08/15/80",,,,,"Regular","YES"
"500146#","CHESTER, TOWN OF","WINDSOR COUNTY",="06/28/74",="03/04/80",="09/28/07","No",="03/04/80",,,,,"Regular","YES"
"500092#","CHITTENDEN, TOWN OF","RUTLAND COUNTY",="04/01/77",="09/18/85",="08/28/08(M)","No",="09/18/85",,,,,"Regular","YES"
"500093#","CLARENDON, TOWN OF","RUTLAND COUNTY",="05/31/74","11/19/80",="08/28/08","No","11/19/80",,,,,"Regular","YES"
"500033#","COLCHESTER, TOWN OF","CHITTENDEN COUNTY",="08/23/74",="03/01/82",="07/18/11","No",="03/01/82",="05/01/16",="05/01/16","8 ","10%","Regular","YES"
"500207#","CONCORD, TOWN OF","ESSEX COUNTY",="09/20/74",="09/27/85",="09/30/92","No",="09/27/85",,,,,"Regular","YES"
"500071#","CORINTH, TOWN OF","ORANGE COUNTY",="06/28/74",="06/30/76",="09/27/91","No",="06/30/76",,,,,"Regular","YES"
"500317","CORNWALL, TOWN OF","ADDISON COUNTY",="03/21/75",="09/27/85",="09/27/85(M)","No",="09/27/85",,,,,"Regular","YES"
"500246","COVENTRY, TOWN OF","ORLEANS COUNTY",="02/21/75",="09/27/85",="09/27/85","No",="09/27/85",,,,,"Regular","YES"
"500247","CRAFTSBURY, TOWN OF","ORLEANS COUNTY",="09/13/74",="09/27/85",="09/27/85(M)","No",="09/27/85",,,,,"Regular","YES"
"500312#","DANBY, TOWN OF","RUTLAND COUNTY",="01/17/75",="08/01/80",="08/28/08","No",="08/01/80",,,,,"Regular","YES"
"500185","DANVILLE, TOWN OF","CALEDONIA COUNTY",="01/17/75",,="01/17/75","No",="06/07/04(E)",,,,,"Emergency","YES"
"500248","DERBY, TOWN OF","ORLEANS COUNTY","12/13/75",="09/27/85",="09/27/85(M)","No",="09/27/85",,,,,"Regular","YES"
,"The Town of Derby includes the jurisdictions of the Village of Derby Center (CID 500249) and the Village of Derby Line (CID 505519).",,,,,"No",,,,,,,"YES"
"500014A","DORSET, TOWN OF","BENNINGTON COUNTY",="07/26/74",="08/01/86","12/02/15(M)","No",="08/01/86",,,,,"Regular","YES"
"500127#","DOVER, TOWN OF","WINDHAM COUNTY",="08/02/74",="07/01/91",="09/28/07","No",="07/01/91",,,,,"Regular","YES"
"500128#","DUMMERSTON, TOWN OF","WINDHAM COUNTY",="08/30/74",="06/17/91",="09/28/07","No",="06/17/91",,,,,"Regular","YES"
"500110#","DUXBURY, TOWN OF","WASHINGTON COUNTY",="06/28/74",="03/15/82",="03/19/13","No",="03/15/82",,,,,"Regular","YES"
"500111#","EAST MONTPELIER, TOWN OF","WASHINGTON COUNTY",="06/14/74",="05/02/83",="03/19/13","No",="05/02/83",,,,,"Regular","YES"
"500318","ELMORE, TOWN OF","LAMOILLE COUNTY",="04/11/75",,="04/11/75","No","11/14/01(E)",,,,,"Emergency","YES"
"500050#","ENOSBURG FALLS, VILLAGE OF","FRANKLIN COUNTY",="04/05/74",="01/02/81",="01/02/81","No",="01/02/81",,,,,"Regular","YES"
"500051#","ENOSBURG, TOWN OF","FRANKLIN COUNTY",="08/09/74",="01/02/81",="01/02/81","No",="06/19/96",,,,,"Regular","YES"
"500035#","ESSEX JCT., VILLAGE OF","CHITTENDEN COUNTY",="06/28/74",="01/02/81",="07/18/11","No",="04/12/12",,,,,"Regular","YES"
"500034#","ESSEX, TOWN OF","CHITTENDEN COUNTY",="09/20/74",="01/16/81",="07/18/11","No",="01/16/81",,,,,"Regular","YES"
"500094#","FAIR HAVEN, TOWN OF","RUTLAND COUNTY",="07/19/74","10/16/84",="08/28/08","No","10/16/84",,,,,"Regular","YES"
"500052#","FAIRFAX, TOWN OF","FRANKLIN COUNTY",="05/17/74",="01/20/82",="01/20/82","No",="01/20/82",,,,,"Regular","YES"
"500053","FAIRFIELD, TOWN OF","FRANKLIN COUNTY",="01/10/75",="09/27/85",="09/27/85(M)","No",="09/27/85",,,,,"Regular","YES"
"500072#","FAIRLEE, TOWN OF","ORANGE COUNTY","12/17/76",="06/03/91",="06/03/91","No",="06/03/91",,,,,"Regular","YES"
"500326#","FAYSTON, TOWN OF","WASHINGTON COUNTY",,="09/30/80",="03/19/13","No",="09/30/80",,,,,"Regular","YES"
"500210","FERDINAND, TOWN OF","ESSEX COUNTY","12/13/74",,"12/13/74","No",="08/05/14(E)",,,,,"Emergency","YES"
"500002#","FERRISBURG, TOWN OF","ADDISON COUNTY",="09/06/74",="09/18/86",="09/18/86","No",="09/18/86",,,,,"Regular","YES"
"500054#","FLETCHER, TOWN OF","FRANKLIN COUNTY","11/08/74","12/01/81","12/01/81","No","12/01/81",,,,,"Regular","YES"
"500310","FRANKLIN, TOWN OF","FRANKLIN COUNTY","11/15/74",="09/18/85",="09/18/85(M)","No",="09/18/85",,,,,"Regular","YES"
"500217#","GEORGIA, TOWN OF","FRANKLIN COUNTY",="02/07/75",="09/16/81",="09/16/81","No",="09/16/81",,,,,"Regular","YES"
"500251#","GLOVER, TOWN OF","ORLEANS COUNTY","12/20/74",="08/05/91",="08/05/91","No",="08/05/91",,,,,"Regular","YES"
"500004#","GOSHEN, TOWN OF","ADDISON COUNTY","12/20/77",="09/01/86",="09/01/86(L)","No",="09/01/86",,,,,"Regular","YES"
"500129#","GRAFTON, TOWN OF","WINDHAM COUNTY",="04/02/76",="08/04/87",="09/28/07","No",="08/04/87",,,,,"Regular","YES"
"500211","GRANBY, TOWN OF","ESSEX COUNTY","12/13/74",,"12/13/74","No","11/06/12(E)",,,,,"Emergency","YES"
"500223#","GRAND ISLE, TOWN OF","GRAND ISLE COUNTY","10/18/74",="06/03/88",="06/03/88","No",="06/03/88",,,,,"Regular","YES"
"500003#","GRANVILLE, TOWN OF","ADDISON COUNTY",="01/24/75",="08/19/91",="08/19/91","No",="08/19/91",,,,,"Regular","YES"
"500085","GREENSBORO, TOWN OF","ORLEANS COUNTY",="07/19/74",="09/27/85",="09/27/85(M)","No",="09/27/85",,,,,"Regular","YES"
"500026#","GROTON, TOWN OF","CALEDONIA COUNTY",="08/09/74",="09/27/91",="09/27/91","No",="09/27/91",,,,,"Regular","YES"
"500047#","GUILDHALL, TOWN OF","ESSEX COUNTY",="08/16/74",="06/17/91",="06/17/91","No",="06/17/91",,,,,"Regular","YES"
"500130#","GUILFORD, TOWN OF","WINDHAM COUNTY",="07/19/74",="06/03/86",="09/28/07(M)","No",="06/03/86",,,,,"Regular","YES"
"500281#","HALIFAX, TOWN OF","WINDHAM COUNTY",="01/31/75",="09/04/85",="09/28/07(M)","No",="09/04/85",,,,,"Regular","YES"
"500005#","HANCOCK, TOWN OF","ADDISON COUNTY",="09/20/74",="09/27/85",="08/19/91","No",="09/27/85",,,,,"Regular","YES"
"500027#","HARDWICK, TOWN AND VILLAGE OF","CALEDONIA COUNTY",="06/28/74",="06/15/84",="07/17/02","No",="06/15/84",,,,,"Regular","YES"
,"INCLUDES THE VILLAGE OF HARDWICK",,,,,"No",,,,,,,"YES"
"500148#","HARTFORD, TOWN OF","WINDSOR COUNTY","11/22/74",="07/02/79",="09/28/07","No",="07/02/79",,,,,"Regular","YES"
"500149#","HARTLAND, TOWN OF","WINDSOR COUNTY","12/24/76",="06/15/88",="09/28/07","No",="06/03/93",,,,,"Regular","YES"
"500055#","HIGHGATE, TOWN OF","FRANKLIN COUNTY",="05/31/74",="04/04/83",="04/04/83","No",="04/04/83",,,,,"Regular","YES"
"500322#","HINESBURG, TOWN OF","CHITTENDEN COUNTY",="01/31/75",="09/27/85",="08/04/14","No",="09/27/85",,,,,"Regular","YES"
"500313#","HUBBARDTON, TOWN OF","RUTLAND COUNTY","12/13/74","12/01/90",="08/28/08(M)","No","12/01/90",,,,,"Regular","YES"
