GEOID,town_name,pct_bachelors_or_higher,pct_bachelors_or_higher_moe,bachelors_or_higher,bachelors_or_higher_moe,total_population_25+,total_population_25+_moe
5000100325,Addison town,40.201567749160134,8.576477396596806,359,60.753600716336145,893,116
5000108575,Bridport town,34.825327510917035,9.700377240954413,319,76.249590162833,916,131
5000109025,Bristol town,41.88006482982172,7.705230892214633,1292,227.05505940189926,3085,168
5000116000,Cornwall town,54.73118279569893,13.222747198383736,509,80.40522371090077,930,170
5000126300,Ferrisburgh town,51.10663983903421,8.32022470397325,1016,150.3296377964106,1988,135
5000128600,Goshen town,42.27642276422765,23.474415718568054,52,24.269322199023193,123,37
5000129575,Granville town,30.606060606060602,12.67126132894031,101,33.896902513356586,330,80
5000131525,Hancock town,34.285714285714285,18.16014362075726,96,46.03259714593562,280,63
5000139325,Leicester town,35.851318944844124,10.921492728051154,299,81.03702857336269,834,116
5000140075,Lincoln town,43.48239771646051,8.767949968987844,457,71.03520254071216,1051,135
5000144350,Middlebury town,55.387446329993864,6.4914106855731,2709,308.5644179097778,4891,135
5000145550,Monkton town,50.0,12.872507589544613,748,163.6520699533006,1496,203
5000148700,New Haven town,31.775700934579437,5.867724427631249,442,68.63672486358888,1391,139
5000153725,Orwell town,22.104144527098832,5.892207039464557,208,48.4458460551573,941,122
5000153950,Panton town,35.051546391752574,10.457471077264458,170,41.54515615568198,485,83
5000159650,Ripton town,47.98850574712644,25.301954371036985,167,72.20803279414278,348,105
5000162575,Salisbury town,34.56659619450317,12.076071010250278,327,92.98386956886662,946,192
5000165050,Shoreham town,36.15537848605578,9.379954904913419,363,72.86974680894672,1004,165
5000170075,Starksboro town,39.27765237020316,9.245050532945353,522,101.3064657363981,1329,177
5000174650,Vergennes city,42.14099216710183,7.661468147613661,807,138.62900129482287,1915,114
5000176075,Waltham town,39.010989010989015,13.230721991045993,142,38.54867053479276,364,74
5000183275,Weybridge town,58.540630182421225,16.401467922858405,353,71.9027120489902,603,116
5000183800,Whiting town,25.916230366492147,12.658518849892483,99,38.07886552931954,382,115
5000301450,Arlington town,55.90885002649708,13.450354586597296,1055,204.45048300260873,1887,269
5000304825,Bennington town,36.863873404064016,4.805268662652493,4100,515.4551386881307,11122,383
5000317725,Dorset town,72.08653175157013,17.258303531867387,1033,202.47468977627796,1433,197
5000327962,Glastenbury town,,,0,20.0,0,10
5000339025,Landgrove town,91.20879120879121,41.14840361077164,166,53.009433122794285,182,58
5000342850,Manchester town,47.40433105903293,8.721213293190164,1598,277.960428838351,3371,202
5000355000,Peru town,54.33673469387755,32.539773878857545,213,103.58088626768937,392,137
5000357025,Pownal town,28.210354667753773,7.629663680266853,692,180.37183815662576,2453,177
5000358600,Readsboro town,26.6553480475382,9.117295017906685,157,48.43552415324934,589,87
5000361000,Rupert town,30.555555555555557,13.631575626532715,165,58.31809324729333,540,147
5000362875,Sandgate town,37.801608579088466,18.456280289430342,141,48.96937818678118,373,128
5000363175,Searsburg town,29.213483146067414,24.115622004962272,26,19.026297590440446,89,34
5000363550,Shaftsbury town,40.93543046357616,11.837328096809317,989,278.09710534272017,2416,163
5000369775,Stamford town,33.996937212863706,7.232215280338085,222,38.84584919911006,653,79
5000371425,Sunderland town,41.41546526867628,11.267632470368534,316,72.11795892841117,763,113
5000385075,Winhall town,67.41154562383612,23.420826582859945,362,101.08906963663283,537,111
5000385675,Woodford town,31.983805668016196,13.76959298379687,79,30.01666203960727,247,50
5000502875,Barnet town,35.58951965065502,9.017123582427782,489,110.93691901256317,1374,155
5000510450,Burke town,41.434689507494646,10.043372937951027,387,78.75277772878871,934,123
5000517125,Danville town,32.76686139139671,8.778011441567749,617,153.38187637397058,1883,188
5000530550,Groton town,38.05555555555556,15.765862537757066,274,99.61927524329818,720,143
5000531825,Hardwick town,33.67122080211547,8.887050454705998,764,194.5944500750214,2269,157
5000537900,Kirby town,32.3943661971831,11.2583799057247,161,36.46916505762094,497,131
5000541725,Lyndon town,30.276774969915763,5.486600444609737,1258,221.05655384991417,4155,184
5000547725,Newark town,40.993788819875775,14.77234247762179,198,60.049979184009715,483,94
5000554400,Peacham town,48.92966360856269,15.169549202441205,320,79.24014134263012,654,122
5000561525,Ryegate town,29.088471849865954,9.452005602885082,217,63.12685640834652,746,108
5000562200,St. Johnsbury town,30.309646685192536,5.24016045855715,1527,254.71160162034238,5038,229
5000564075,Sheffield town,27.06422018348624,9.461619632931974,118,35.11409973215888,436,80
5000569925,Stannard town,44.84536082474227,21.363370583773843,87,32.96968304366907,194,56
5000571575,Sutton town,32.77870216306156,9.698150752298837,197,46.79743582719036,601,106
5000575700,Walden town,26.378896882494008,6.770351348163044,220,41.291645644125154,834,146
5000577125,Waterford town,41.04104104104104,12.025377589278271,410,92.42294087508793,999,187
5000583500,Wheelock town,34.8747591522158,13.612937557325008,181,57.92236183029832,519,116
5000706550,Bolton town,58.3941605839416,15.761589483720323,560,112.43664882946307,959,173
5000710300,Buels gore,88.23529411764706,141.246844526553,15,21.095023109728988,17,13
5000710675,Burlington city,60.46763639394823,4.128710619718528,14508,889.8016632935679,23993,720
5000713300,Charlotte town,66.2276258020939,11.219364274435573,1961,314.85234634666455,2961,160
5000714875,Colchester town,40.80770530584657,5.033206571140087,4830,570.6654010889393,11836,419
5000724175,Essex town,57.621542585597666,6.814759423797911,4729,514.8883374091901,8207,379
5000724400,Essex Junction city,52.43616466909848,8.06748935722516,4025,583.9666086344321,7676,393
5000733475,Hinesburg town,64.27350427350427,12.267146171565715,2256,393.4882463301795,3510,272
5000734600,Huntington town,56.81511470985156,11.318217405938919,842,139.85349477220797,1482,163
5000736700,Jericho town,65.28991262907068,9.744766103311221,2466,343.86916116453364,3777,201
5000745250,Milton town,33.096040964156366,7.105743082387285,2650,551.9646727825975,8007,417
5000759275,Richmond town,59.070655633354555,10.074369164003032,1856,298.1442603841302,3142,180
5000762050,St. George town,53.64485981308411,16.4577563395151,287,63.85922016435841,535,113
5000764300,Shelburne town,70.16916070266753,8.012493009145665,4314,471.7753702769995,6148,202
5000766175,South Burlington city,67.55119510107329,5.577829026306551,10259,755.5699835223736,15187,567
5000773975,Underhill town,50.141376060320454,12.8571569032824,1064,253.1304011769428,2122,203
5000780350,Westford town,52.268907563025216,10.577360131602038,933,160.57708429287163,1785,190
5000784475,Williston town,54.85405683425485,8.311037700133884,4266,620.3233028026596,7777,331
5000785150,Winooski city,59.09410112359551,7.717884892880914,3366,382.0549698669028,5696,368
5000902125,Averill town,22.22222222222222,196.57562236615703,2,17.578395831246947,9,9
5000902162,Avery's gore,,,0,20.0,0,10
5000906325,Bloomfield town,32.70440251572327,19.372662398453965,52,27.730849247724095,159,41
5000908725,Brighton town,25.87666263603386,9.021237410067723,214,66.9776081985614,827,127
5000910075,Brunswick town,35.80246913580247,27.94212124759824,29,19.519221295943137,81,32
5000911800,Canaan town,13.777089783281735,5.87252758707608,89,35.805027579936315,646,91
5000915250,Concord town,22.149837133550488,6.848290018471472,204,57.60208329565867,921,116
5000921250,East Haven town,25.0,16.420374076349667,42,23.15167380558045,168,60
5000925975,Ferdinand town,0.0,29.411764705882355,0,20.0,68,57
5000929125,Granby town,10.526315789473683,31.842570822752318,6,18.027756377319946,57,20
5000930775,Guildhall town,33.87755102040816,15.766770801682606,83,32.848135411313685,245,60
5000939700,Lemington town,31.25,23.02143723284072,25,16.3707055437449,80,27
5000939775,Lewis town,,,0,20.0,0,10
5000941425,Lunenburg town,14.576962283384301,5.464288303733732,143,49.44694126030446,981,142
5000942475,Maidstone town,28.90995260663507,12.331352482701584,61,21.236760581595302,211,52
5000952750,Norton town,28.735632183908045,23.005985733974242,25,18.681541692269406,87,25
5000975175,Victory town,26.53061224489796,39.96988875489676,13,18.33030277982336,49,26
5000976337,Warner's grant,,,0,20.0,0,10
5000976562,Warren's gore,,,0,20.0,0,10
5001102500,Bakersfield town,39.229843561973524,11.16752135814725,326,73.62744053679987,831,144
5001105425,Berkshire town,22.035398230088497,7.050843214932072,249,71.449282711585,1130,160
5001124050,Enosburgh town,20.13285641287685,5.311342548979446,394,100.1049449328054,1957,139
5001124925,Fairfax town,49.48535233570863,10.39152484517861,1875,375.08132451509766,3789,242
5001125225,Fairfield town,30.20989505247376,6.735537167128565,403,77.05193054038295,1334,153
5001126500,Fletcher town,32.33256351039261,10.950220387140684,280,77.7303029712351,866,168
5001127100,Franklin town,21.671018276762403,8.81034923155931,249,88.5945822271317,1149,226
5001127700,Georgia town,34.93436754176611,7.996814474864957,1171,256.3766760062233,3352,224
5001133025,Highgate town,19.48004393994874,6.06297328066945,532,156.06408939919524,2731,284
5001145850,Montgomery town,52.834740651387214,22.904406599445775,438,157.044579658134,829,202
5001159125,Richford town,20.751231527093598,6.617113131609577,337,95.7601169589929,1624,235
