GEOID,town_name,pct_renter_occupied,pct_renter_occupied_moe,renter_occupied,renter_occupied_moe,total_occupied,total_occupied_moe
5000941425,Lunenburg town,17.353951890034363,7.1434465210025975,101,39,582,83
5000942475,Maidstone town,2.459016393442623,2.547386478210336,3,3,122,33
5000952750,Norton town,0.0,17.857142857142858,0,10,56,17
5000975175,Victory town,28.57142857142857,34.35609879431668,10,11,35,17
5000976337,Warner's grant,,,0,10,0,10
5000976562,Warren's gore,,,0,10,0,10
5001102500,Bakersfield town,6.026785714285714,4.786525245446134,27,21,448,72
5001105425,Berkshire town,22.734254992319507,9.063872271044309,148,55,651,94
5001124050,Enosburgh town,24.250214224507282,8.433269255385246,283,95,1167,106
5001124925,Fairfax town,14.254742547425476,8.109441484700731,263,148,1845,154
5001125225,Fairfield town,11.459754433833561,4.875246485648585,84,34,733,96
5001126500,Fletcher town,3.925619834710744,2.981274302201664,19,14,484,89
5001127100,Franklin town,25.283630470016206,15.307121672713397,156,89,617,125
5001127700,Georgia town,3.459637561779242,2.1098981347889034,63,38,1821,164
5001133025,Highgate town,19.25170068027211,10.897084435003174,283,156,1470,189
5001145850,Montgomery town,19.270833333333336,21.686533291373436,111,121,576,161
5001159125,Richford town,29.561671763506624,10.072800495351007,290,90,981,138
5001161675,St. Albans city,50.97976228718279,7.125301511987817,1587,201,3113,184
5001161750,St. Albans town,20.67876874506709,7.925149689569756,524,194,2534,251
5001164600,Sheldon town,10.952902519167578,5.710327036445672,100,47,913,206
5001171725,Swanton town,22.06896551724138,6.595331497228557,576,168,2610,170
5001300860,Alburgh town,7.124681933842239,3.555021084214146,56,27,786,101
5001329275,Grand Isle town,13.621621621621621,5.714456684592292,126,51,925,102
5001335875,Isle La Motte town,7.480314960629922,6.489710457924824,19,16,254,53
5001350650,North Hero town,3.667953667953668,2.3782887733685083,19,12,518,76
5001367000,South Hero town,14.916286149162861,7.829388729979074,98,50,657,81
5001504375,Belvidere town,13.917525773195877,10.915481016619578,27,20,194,50
5001511500,Cambridge town,29.721166032953107,8.174704407735666,469,122,1578,141
5001523500,Eden town,22.59194395796848,11.119840661231185,129,61,571,78
5001523725,Elmore town,7.249999999999999,5.692573321058324,29,22,400,81
5001535050,Hyde Park town,15.656963021243115,6.885412534489224,199,85,1271,133
5001537075,Johnson town,41.57931516422082,9.660562944787602,595,125,1431,142
5001546675,Morristown town,35.037941273507094,8.56771306229234,1062,252,3031,179
5001570525,Stowe town,21.3520197856554,6.2090032933541,518,144,2426,207
5001577425,Waterville town,20.12012012012012,12.149121534067014,67,38,333,69
5001585375,Wolcott town,20.49418604651163,8.441266407246914,141,55,688,91
5001707375,Bradford town,12.925170068027212,8.877428719080518,133,90,1029,121
5001707600,Braintree town,18.98238747553816,8.841028152358788,97,43,511,73
5001709325,Brookfield town,12.10691823899371,6.248068004972997,77,38,636,96
5001713525,Chelsea town,18.785578747628083,7.892992789195325,99,39,527,77
5001715700,Corinth town,11.285266457680251,8.78294149059396,72,55,638,95
5001725675,Fairlee town,19.13214990138067,8.687636920933576,97,39,507,107
5001748175,Newbury town,19.250253292806484,5.700292148311359,190,50,987,134
5001753425,Orange town,12.219451371571072,5.864556521281878,49,22,401,68
5001758075,Randolph town,32.78370514064016,6.542307872051957,676,123,2062,169
5001770675,Strafford town,11.072664359861593,6.339712231501678,64,35,578,98
5001772400,Thetford town,15.867158671586715,6.955681386614314,215,92,1355,129
