GEOID,town_name,pct_below_poverty,pct_below_poverty_moe,below_poverty_total,below_poverty_total_moe,total_population,total_population_moe
5000100325,Addison town,4.51063829787234,3.394276543403608,53,39,1175,185
5000108575,Bridport town,4.4189852700491,3.835924478854466,54,46,1222,204
5000109025,Bristol town,10.08515167642363,5.482154168952672,379,206,3758,28
5000116000,Cornwall town,0.8340283569641368,0.6009825285816363,10,7,1199,205
5000126300,Ferrisburgh town,2.2172115745960164,1.428104822925042,59,38,2661,17
5000128600,Goshen town,16.19718309859155,15.510566549684818,23,21,142,41
5000129575,Granville town,6.038647342995169,4.1412158244806365,25,16,414,102
5000131525,Hancock town,5.607476635514018,4.015994907722658,24,16,428,112
5000139325,Leicester town,11.793372319688109,8.84866738998996,121,89,1026,152
5000140075,Lincoln town,7.476635514018691,3.6198247320907226,104,49,1391,155
5000144350,Middlebury town,10.654685494223363,2.9056223110155504,664,181,6232,50
5000145550,Monkton town,4.202101050525263,3.012926244149005,84,59,1999,288
5000148700,New Haven town,3.125,1.167748119836657,56,20,1792,197
5000153725,Orwell town,10.825545171339563,5.895433420353952,139,73,1284,185
5000153950,Panton town,3.2023289665211063,2.685108994779984,22,18,687,126
5000159650,Ripton town,8.57843137254902,8.232558447364417,35,32,408,119
5000162575,Salisbury town,4.639175257731959,2.9857566750724813,54,33,1164,235
5000165050,Shoreham town,8.2864038616251,5.234097358210613,103,63,1243,196
5000170075,Starksboro town,6.962351727694688,3.6183378759758376,135,67,1939,299
5000174650,Vergennes city,11.597633136094675,4.262145401690391,294,108,2535,27
5000176075,Waltham town,5.3097345132743365,3.923137431932907,24,17,452,95
5000183275,Weybridge town,11.395646606914212,6.706873271416212,89,50,781,137
5000183800,Whiting town,11.462450592885375,9.094506201522682,58,43,506,143
5000301450,Arlington town,7.459207459207459,2.998787826682608,192,72,2574,373
5000304825,Bennington town,13.194301053066281,3.745928652554569,1917,544,14529,124
5000317725,Dorset town,11.233269598470363,5.601775162734057,235,112,2092,307
5000327962,Glastenbury town,,,0,10,0,10
5000339025,Landgrove town,0.4444444444444444,1.3413218393760222,1,3,225,74
5000342850,Manchester town,16.812964213369344,7.337700805205916,747,326,4443,18
5000355000,Peru town,1.8433179723502304,1.9434759145298681,8,8,434,145
5000357025,Pownal town,8.637059724349157,4.380172246714068,282,143,3265,22
5000358600,Readsboro town,7.347447073474471,3.502620736846324,59,26,803,146
5000361000,Rupert town,5.970149253731343,5.013287682940009,40,32,670,171
5000362875,Sandgate town,9.655172413793103,7.537177111417242,42,30,435,137
5000363175,Searsburg town,0.0,7.751937984496124,0,10,129,47
5000363550,Shaftsbury town,9.602928752464095,5.326205136287878,341,189,3551,74
5000369775,Stamford town,6.269592476489027,2.6443221464913806,60,24,957,128
5000371425,Sunderland town,11.190476190476192,8.857117418340426,141,109,1260,214
5000385075,Winhall town,5.319148936170213,5.564075568517509,40,41,752,157
5000385675,Woodford town,6.382978723404255,5.844735297076901,18,16,282,62
5000502875,Barnet town,8.194070080862534,3.6041912607443694,152,64,1855,236
5000510450,Burke town,10.022779043280181,3.73130036785999,132,45,1317,197
5000517125,Danville town,5.2542372881355925,3.1489837259516653,124,73,2360,265
5000530550,Groton town,6.8252326783867625,4.694005675053446,66,43,967,213
5000531825,Hardwick town,9.667571234735414,4.276409673955795,285,126,2948,43
5000537900,Kirby town,21.296296296296298,17.273739276968588,161,123,756,206
5000541725,Lyndon town,11.04639875752281,4.038465972536573,569,208,5151,27
5000547725,Newark town,22.420907840440165,18.959628131034385,163,132,727,177
5000554400,Peacham town,10.597519729425029,6.505776731131578,94,54,887,192
5000561525,Ryegate town,14.542020774315393,7.157830244623494,154,72,1059,163
5000562200,St. Johnsbury town,16.824143280214358,4.333694978132258,1193,307,7091,81
5000564075,Sheffield town,6.631762652705062,5.049683661547664,38,28,573,110
5000569925,Stannard town,3.9473684210526314,2.862099222948345,9,6,228,65
5000571575,Sutton town,12.404092071611252,5.7380830958889435,97,41,782,147
5000575700,Walden town,9.257473481195758,5.8368755822321345,96,58,1037,187
5000577125,Waterford town,6.980392156862745,4.622952519769787,89,57,1275,215
5000583500,Wheelock town,8.708272859216255,5.3833547822142895,60,35,689,141
5000706550,Bolton town,2.9234737747205504,2.281929584914527,34,26,1163,182
5000710300,Buels gore,0.0,52.63157894736842,0,10,19,14
5000710675,Burlington city,20.45349249175592,2.386318277681452,7505,875,36693,160
5000713300,Charlotte town,3.7027579162410627,2.8346765793111546,145,111,3916,31
5000714875,Colchester town,6.9671627106137,1.8756461556420623,1133,305,16262,47
5000724175,Essex town,4.987770789657582,2.463383610772331,571,282,11448,43
5000724400,Essex Junction city,9.530438010393468,4.909095723100717,1027,529,10776,22
5000733475,Hinesburg town,8.47816871555744,3.539783225546807,400,167,4718,18
5000734600,Huntington town,5.828386400431732,3.554737338651792,108,65,1853,183
5000736700,Jericho town,0.879937426671881,0.8408439025577663,45,43,5114,29
5000745250,Milton town,3.62184249628529,2.442457217172355,390,263,10768,39
5000759275,Richmond town,4.231786487136331,2.404519082466017,176,100,4159,21
5000762050,St. George town,5.534105534105534,3.6623698068160717,43,26,777,209
5000764300,Shelburne town,8.441142564365313,3.5610749650864246,659,278,7807,32
5000766175,South Burlington city,7.21386943532984,2.2729163117099875,1473,464,20419,138
