GEOID,town_name,pct_mobile_home,pct_mobile_home_moe,mobile_homes,mobile_homes_moe,total_housing_units,total_housing_units_moe
5002741275,Ludlow town,2.627511591962906,1.8895055143257666,85,61,3235,149
5002752900,Norwich town,2.763496143958869,3.220194313210018,43,50,1556,118
5002756050,Plymouth town,1.2195121951219512,1.225743464159662,10,10,820,83
5002756350,Pomfret town,2.976190476190476,2.428522338498979,15,12,504,81
5002758375,Reading town,5.164319248826291,3.8303358780790884,22,16,426,62
5002760100,Rochester town,3.8657171922685656,1.9993255805278478,38,19,983,130
5002760850,Royalton town,6.075635461872288,4.924032680818864,98,79,1613,135
5002763775,Sharon town,16.133333333333333,7.6796476791614205,121,55,750,106
5002769550,Springfield town,6.144465290806754,4.508315053877703,262,191,4264,354
5002770375,Stockbridge town,9.060955518945635,5.324977002248729,55,31,607,101
5002777500,Weathersfield town,11.598746081504702,5.130990456109806,148,64,1276,119
5002782000,Weston town,1.2797074954296161,1.2904425681533815,7,7,547,71
5002783050,West Windsor town,0.6418485237483954,1.0292871981308325,5,8,779,84
5002784925,Windsor town,2.0333680917622523,2.4025352279080905,39,46,1918,134
5002785975,Woodstock town,1.8786902844873858,1.2453296033508536,35,23,1863,162
