GEOID,town_name,IFLD_EALT_weighted,IFLD_EALP_weighted,IFLD_EALPE_weighted,IFLD_EALB_weighted,IFLD_EALA_weighted,POPULATION_weighted,BUILDVALUE_weighted,AGRIVALUE_weighted,AREA_weighted,ALAND_sqmi,EAL_per_capita,EAL_per_building_value,EAL_per_agricultural_value,weight,RISK_SCORE_avg,SOVI_SCORE_avg,IFLD_RISKS_avg,RESL_SCORE_avg,CRF_VALUE_avg
5000100325,Addison town,442982.27171678585,0.00011503373327543593,1575.9621458764254,437428.46587012295,3977.843699464467,1741.7415579741073,677950139.2629905,23211493.96061321,49.48107687917438,41.587203265588236,254.3329518025838,0.0006534142351506239,0.01908460836120533,0.35158287403595223,62.3333690081,43.24527631,83.2399843031,73.7922047151,1.068012043
5000108575,Bridport town,248277.64694873043,6.206967630578627e-05,850.3545653876427,244570.50871520356,2856.783668252027,1337.3289733032868,431756287.035428,22393368.859880842,46.74632396175126,43.69088628183697,185.6518866374883,0.0005750411850478923,0.011087105674105863,0.2506708478544118,60.2975277371,53.22987621,77.1657569596,73.7922047151,1.148067341
5000109025,Bristol town,801320.926477,0.000357561907174,4898.59812828,795192.6046,1229.72374883,3782.0,909102707.0,5316545.0,41.63910816,40.54770737398326,211.87755856081438,0.0008814415800403068,0.1507221186836564,1.0,35.9649435744,41.89717467,63.9672743272,73.7922047151,1.05777261
5000116000,Cornwall town,154186.10152177274,3.8546689683601706e-05,528.0896486643315,151883.88382696811,1774.1280462103305,830.5119022186024,268130536.61353204,13906794.618353568,29.03053714547504,28.56799716752412,185.6518866374883,0.0005750411850478924,0.011087105674105865,0.1556723340615937,60.2975277371,53.22987621,77.1657569596,73.7922047151,1.148067341
5000126300,Ferrisburgh town,655683.709121,0.00017348638125,2376.76342312,650788.0814,2518.86429834,2646.0,861390046.0,23046091.0,61.82344818,47.48342994672881,247.8018552989418,0.0007611925772369559,0.02845097284051339,1.0,13.9203025222,9.209856068,34.0503965847,73.7922047151,0.724109523
5000128600,Goshen town,109578.73549782536,5.921055473233351e-05,811.1845998338066,108663.75758783356,103.79330973724822,290.1751084254401,88322771.84506607,393528.9036679069,20.949424225034335,20.58060992144281,377.62968744089017,0.001240662325340582,0.2784515558488614,0.1008953784511266,45.7933478411,37.53598294,76.2941029574,73.7922047151,1.024681172
5000129575,Granville town,269367.4587447085,0.00014555193201175128,1994.0614685630512,267118.25160335645,255.1456717547157,713.311129138575,217115852.75289372,967376.3823065741,51.498067941971485,50.88543668368519,377.62968744089017,0.001240662325340582,0.2784515558488614,0.24802195032634736,45.7933478411,37.53598294,76.2941029574,73.7922047151,1.024681172
5000131525,Hancock town,203828.15923833114,0.00011013795992208276,1508.8900509340917,202126.20253760734,193.06664900707042,539.7567140963621,164289795.11598936,732005.8191700875,38.968168025413945,38.478072004381275,377.62968744089017,0.001240662325340582,0.2784515558488614,0.18767618709887418,45.7933478411,37.53598294,76.2941029574,73.7922047151,1.024681172
5000139325,Leicester town,159127.91088155372,5.278524211215291e-05,723.1578169388027,157040.86278084433,1363.8902835943552,917.693680334388,282360509.9583114,4199957.096345921,21.977143883191825,20.836663220434197,173.39981116963878,0.0005635629107804341,0.03788798486060713,0.4196130225580192,10.5823314664,29.05348575,22.5928436374,73.7922047151,0.961693803
5000140075,Lincoln town,242010.06729306144,0.00013076944418213246,1791.5413852970644,239989.29323901905,229.2326678160975,640.8661059809895,195065218.27091488,869128.0842561363,46.26784150609282,45.610597024970446,377.62968744089017,0.001240662325340582,0.2784515558488614,0.222832442969746,45.79334784110001,37.53598294,76.2941029574,73.7922047151,1.024681172
