projectIdentifier,programArea,programFy,disasterNumber,projectCounties,projectType,status,subrecipient,dateApproved,projectAmount,federalShareObligated,costSharePercentage,benefitCostRatio,netValueBenefits,numberOfFinalProperties,numberOfProperties,flood_mitigation_flag,subcategory,acquisition_buyouts,admin,ecosystem_restoration,equipment,flood_control,infrastructure_protection,infrastructure_stormwater,other,planning,structure_protection,funding_acquisition_buyouts,funding_admin,funding_ecosystem_restoration,funding_equipment,funding_flood_control,funding_infrastructure_protection,funding_infrastructure_stormwater,funding_other,funding_planning,funding_structure_protection,cost_per_property,cost_per_final_property,town_assigned,geo_level
DR-1101-0024-F,HMGP,1996,1101.0,ORLEANS,90.4: Mitigation Plan - Local Multihazard Mitigation Plan,Closed,GLOVER (TOWN OF) ,1999-12-27T00:00:00.000Z,10000.0,7500.0,0.75,0.0,0.0,0,0,0.0,local_mitigation_planning,False,False,False,False,False,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7500.0,0.0,,,GLOVER TOWN,local
DR-1228-0018-R,HMGP,1998,1228.0,ORLEANS,"301.1: Shoreline Stabilization (Riprap, etc.)",Closed,DERBY (TOWN OF ) ,2000-04-17T00:00:00.000Z,120000.0,33250.0,0.28,1.02,122850.0,0,0,1.0,shoreline_stabilization,False,False,True,False,False,False,False,False,False,False,0.0,0.0,33250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,DERBY TOWN,local
PDMC-PJ-01-VT-2016-003,PDM,2016,,ORLEANS,106.2: Other Non Construction,Not Approved / Denied,Town of Brownington,,30000.71,,0.75,1.39,43193.0,0,0,0.0,other_nonconstruction,False,False,False,False,False,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,BROWNINGTON TOWN,local
DR-1201-0017-R,HMGP,1998,1201.0,ORLEANS,"301.1: Shoreline Stabilization (Riprap, etc.)",Closed,DERBY (TOWN OF ) ,2000-04-10T00:00:00.000Z,104000.0,56250.0,0.54,1.18,122850.0,0,0,1.0,shoreline_stabilization,False,False,True,False,False,False,False,False,False,False,0.0,0.0,56250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,DERBY TOWN,local
DR-0938-0001-R,HMGP,1992,938.0,ORANGE,402.1: Infrastructure Protective Measures (Roads and Bridges),Closed,STRAFFORD (TOWN OF),1994-11-21T00:00:00.000Z,21552.0,10776.0,0.5,0.0,0.0,0,0,1.0,roads_bridges_protection,False,False,False,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,10776.0,0.0,0.0,0.0,0.0,,,STRAFFORD TOWN,local
DR-4022-0144-R,HMGP,2011,4022.0,ORLEANS,403.1: Stormwater Management - Culverts,Closed,Charleston (Town of),2023-07-28T00:00:00.000Z,99393.13,74544.84,0.75,1.05,137045.0,0,0,1.0,stormwater_culverts,False,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,74544.84,0.0,0.0,0.0,,,CHARLESTON TOWN,local
DR-4022-0158-R,HMGP,2011,4022.0,ORANGE,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Closed,Chelsea (Town of),2023-11-13T00:00:00.000Z,568073.93,426055.44,0.75,0.0,0.0,3,3,1.0,acquisition,True,False,False,False,False,False,False,False,False,False,426055.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142018.48,142018.48,CHELSEA TOWN,local
DR-4022-0061-P,HMGP,2011,4022.0,CALEDONIA; ESSEX; ORLEANS,91.1: Local Multihazard Mitigation Plan,Closed,Statewide,2023-11-07T00:00:00.000Z,244056.52,183042.39,0.75,0.0,0.0,0,0,0.0,local_mitigation_planning,False,False,False,False,False,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183042.39,0.0,,,,statewide
DR-1778-0003-R,HMGP,2008,1778.0,ORANGE,"100.1: Public Awareness and Education (Brochures, Workshops, Videos, etc.)",Closed,TOW-RIVERS-OTTAUQECHEE REGIONAL COMMISSION,2014-02-03T00:00:00.000Z,0.0,0.0,0.75,0.0,0.0,0,0,0.0,public_awareness,False,False,False,False,False,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,regional
DR-1228-0020-R,HMGP,1998,1228.0,ORLEANS,402.1: Infrastructure Protective Measures (Roads and Bridges),Closed,HARTFORD (TOWN OF) ,2000-12-20T00:00:00.000Z,36172.0,27534.0,0.75,1.12,41039.0,0,0,1.0,roads_bridges_protection,False,False,False,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,27534.0,0.0,0.0,0.0,0.0,,,HARTFORD TOWN,local
DR-1101-0001-R,HMGP,1996,1101.0,ORLEANS,405.1: Other Minor Flood Control,Void,VERMONT AGENCY OF DE,,,,,0.0,,0,0,1.0,minor_flood_control,False,False,False,False,True,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,statewide
DR-1228-0008-R,HMGP,1998,1228.0,ORANGE,"301.1: Shoreline Stabilization (Riprap, etc.)",Closed,"ORANGE, TOWN OF",1999-06-17T00:00:00.000Z,836.0,627.0,0.75,59.37,49636.0,0,0,1.0,shoreline_stabilization,False,False,True,False,False,False,False,False,False,False,0.0,0.0,627.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,ORANGE TOWN,local
DR-1184-0019-R,HMGP,1997,1184.0,ORLEANS,403.1: Stormwater Management - Culverts,Closed,GLOVER (TOWN OF) ,2000-02-15T00:00:00.000Z,7200.0,5400.0,0.75,2.79,20093.0,0,0,1.0,stormwater_culverts,False,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,5400.0,0.0,0.0,0.0,,,GLOVER TOWN,local
DR-1201-0015-F,HMGP,1998,1201.0,ORLEANS,601.1: Generators,Closed,ORLEANS (VILLAGE OF) ,1999-08-05T00:00:00.000Z,2450.0,1837.0,0.75,0.0,0.0,0,0,0.0,generators,False,False,False,True,False,False,False,False,False,False,0.0,0.0,0.0,1837.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,unknown
DR-1184-0020-R,HMGP,1997,1184.0,ORLEANS,"301.1: Shoreline Stabilization (Riprap, etc.)",Closed,BARTON (TOWN OF),2000-03-21T00:00:00.000Z,13471.0,10103.0,0.75,1.26,16938.0,0,0,1.0,shoreline_stabilization,False,False,True,False,False,False,False,False,False,False,0.0,0.0,10103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,BARTON TOWN,local
DR-4022-0151-R,HMGP,2011,4022.0,ORLEANS,402.1: Infrastructure Protective Measures (Roads and Bridges),Closed,Charleston (Town of),2024-02-28T00:00:00.000Z,185664.8,139248.6,0.75,1.3,629009.0,0,0,1.0,roads_bridges_protection,False,False,False,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,139248.6,0.0,0.0,0.0,0.0,,,CHARLESTON TOWN,local
DR-1184-0004-R,HMGP,1997,1184.0,ORLEANS,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Closed,BARTON (TOWN OF),1998-02-13T00:00:00.000Z,31049.0,23287.0,0.75,0.0,0.0,1,1,1.0,acquisition,True,False,False,False,False,False,False,False,False,False,23287.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23287.0,23287.0,BARTON TOWN,local
DR-4720-0007-R,HMGP,2023,4720.0,ORLEANS,904.1: Advanced Assistance,Approved,Greensboro (Town of),2024-03-29T00:00:00.000Z,64000.0,48000.0,0.75,0.0,0.0,0,0,0.0,technical_assistance,False,False,False,False,False,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48000.0,0.0,,,GREENSBORO TOWN,local
DR-1184-0022-R,HMGP,1997,1184.0,ORLEANS,"301.1: Shoreline Stabilization (Riprap, etc.)",Withdrawn,DERBY (TOWN OF ) ,,0.0,,,1.18,122850.0,0,0,1.0,shoreline_stabilization,False,False,True,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,DERBY TOWN,local
DR-4022-0093-P,HMGP,2011,4022.0,ORLEANS,91.1: Local Multihazard Mitigation Plan,Closed,Statewide,2017-03-02T00:00:00.000Z,12097.0,9073.0,0.75,0.0,0.0,0,0,0.0,local_mitigation_planning,False,False,False,False,False,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9073.0,0.0,,,,statewide
DR-0990-0001-R,HMGP,1993,990.0,GRAND ISLE,"301.1: Shoreline Stabilization (Riprap, etc.)",Closed,NORTH HERO (TOWN OF),1994-06-17T00:00:00.000Z,70522.0,35261.0,0.5,0.0,0.0,0,0,1.0,shoreline_stabilization,False,False,True,False,False,False,False,False,False,False,0.0,0.0,35261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,NORTH HERO TOWN,local
DR-0840-0007-R,HMGP,1989,840.0,ORANGE,"301.1: Shoreline Stabilization (Riprap, etc.)",Not Approved / Denied,BRADFORD (TOWN OF),,0.0,,,0.0,,0,0,1.0,shoreline_stabilization,False,False,True,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,BRADFORD TOWN,local
DR-1101-0011-R,HMGP,1996,1101.0,ORLEANS,403.1: Stormwater Management - Culverts,Closed,BARTON (TOWN OF),1997-03-07T00:00:00.000Z,4548.0,3411.0,0.75,1.93,10558.0,0,0,1.0,stormwater_culverts,False,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,3411.0,0.0,0.0,0.0,,,BARTON TOWN,local
DR-1101-0004-R,HMGP,1996,1101.0,ORLEANS,"301.1: Shoreline Stabilization (Riprap, etc.)",Withdrawn,RICHFORD (TOWN OF),,,,,0.0,,0,0,1.0,shoreline_stabilization,False,False,True,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,RICHFORD TOWN,local
DR-0938-0006-R,HMGP,1992,938.0,ORANGE,500.1: Flood Control - Floodwall,Closed,RANDOLPH (TOWN OF),1995-01-06T00:00:00.000Z,54000.0,27000.0,0.5,0.0,0.0,0,0,1.0,floodwall,False,False,False,False,True,False,False,False,False,False,0.0,0.0,0.0,0.0,27000.0,0.0,0.0,0.0,0.0,0.0,,,RANDOLPH TOWN,local
DR-4232-0002-P,HMGP,2015,4232.0,ORLEANS,91.3: Local Multihazard Mitigation Plan - UPDATE,Closed,Glover (Town of),2016-10-04T00:00:00.000Z,5733.0,4300.0,0.75,0.0,0.0,0,0,0.0,local_mitigation_planning,False,False,False,False,False,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4300.0,0.0,,,GLOVER TOWN,local
DR-1778-0004-F,HMGP,2008,1778.0,ORANGE,"100.1: Public Awareness and Education (Brochures, Workshops, Videos, etc.)",Closed,TOW-RIVERS-OTTAUQECHEE REGIONAL COMMISSION,2013-01-15T00:00:00.000Z,7823.0,7823.0,0.75,0.0,0.0,0,0,0.0,public_awareness,False,False,False,False,False,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7823.0,0.0,,,,regional
DR-4720-0055-R,HMGP,2023,4720.0,ORANGE,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Approved,Statewide,2024-12-06T00:00:00.000Z,247000.0,185250.0,0.75,0.0,0.0,1,1,1.0,acquisition,True,False,False,False,False,False,False,False,False,False,185250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185250.0,185250.0,,statewide
DR-4720-0063-R,HMGP,2023,4720.0,ORANGE,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Approved,Statewide,2025-04-21T00:00:00.000Z,536100.0,402075.0,0.75,0.0,0.0,1,1,1.0,acquisition,True,False,False,False,False,False,False,False,False,False,402075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,402075.0,402075.0,,statewide
DR-4720-0054,HMGP,2023,4720.0,ORLEANS,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Pending,Statewide,,221000.0,,0.75,0.0,0.0,1,1,1.0,acquisition,True,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,statewide
DR-4810-0001,HMGP,2024,4810.0,ORLEANS,403.1: Stormwater Management - Culverts,Withdrawn,Greensboro (Town of),,610519.66,,0.75,1.62,1125094.0,0,0,1.0,stormwater_culverts,False,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,GREENSBORO TOWN,local
DR-4720-0027-R,HMGP,2023,4720.0,ORLEANS,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Approved,Orleans,2025-12-18T00:00:00.000Z,314250.0,235687.5,0.75,0.0,0.0,1,1,1.0,acquisition,True,False,False,False,False,False,False,False,False,False,235687.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235687.5,235687.5,,unknown
DR-4022-0138-R,HMGP,2011,4022.0,ORANGE,601.2: Generators - Regular,Closed,Orange (Town of),2022-10-19T00:00:00.000Z,47592.0,35694.0,0.75,1.06,98990.0,0,0,0.0,generators,False,False,False,True,False,False,False,False,False,False,0.0,0.0,0.0,35694.0,0.0,0.0,0.0,0.0,0.0,0.0,,,ORANGE TOWN,local
DR-4720-0042-R,HMGP,2023,4720.0,ORLEANS,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Approved,Statewide,2024-12-20T00:00:00.000Z,479324.0,359493.0,0.75,0.0,0.0,2,2,1.0,acquisition,True,False,False,False,False,False,False,False,False,False,359493.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179746.5,179746.5,,statewide
PDMC-PJ-01-VT-2017-006,PDM,2017,,ORLEANS,106.2: Other Non Construction,Pending,Town of Brownington,,30000.71,,0.75,1.2,48073.0,0,0,0.0,other_nonconstruction,False,False,False,False,False,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,BROWNINGTON TOWN,local
DR-4720-0039-R,HMGP,2023,4720.0,ORLEANS,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Approved,Troy (Town of),2024-10-01T00:00:00.000Z,200698.0,150523.5,0.75,0.0,0.0,0,1,1.0,acquisition,True,False,False,False,False,False,False,False,False,False,150523.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150523.5,,TROY TOWN,local
PDMC-PJ-01-VT-2003-002,PDM,2003,,ORLEANS,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Closed,Town of Troy,2004-06-15T00:00:00.000Z,156045.0,140440.5,0.9,2.52,392659.0,2,2,1.0,acquisition,True,False,False,False,False,False,False,False,False,False,140440.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70220.25,70220.25,TROY TOWN,local
