projectIdentifier,programArea,programFy,disasterNumber,projectCounties,projectType,status,subrecipient,dateApproved,projectAmount,federalShareObligated,costSharePercentage,benefitCostRatio,netValueBenefits,numberOfFinalProperties,numberOfProperties,flood_mitigation_flag,subcategory,acquisition_buyouts,admin,ecosystem_restoration,equipment,flood_control,infrastructure_protection,infrastructure_stormwater,other,planning,structure_protection,funding_acquisition_buyouts,funding_admin,funding_ecosystem_restoration,funding_equipment,funding_flood_control,funding_infrastructure_protection,funding_infrastructure_stormwater,funding_other,funding_planning,funding_structure_protection,cost_per_property,cost_per_final_property,town_assigned,geo_level
DR-4532-0005-R,HMGP,2020,4532.0,RUTLAND,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Closed,Pittsfield (Town of),2025-01-13T00:00:00.000Z,155765.23,140188.7,0.9,1.13,323000.0,1,1,1.0,acquisition,True,False,False,False,False,False,False,False,False,False,140188.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140188.7,140188.7,PITTSFIELD TOWN,local
DR-4720-0047-R,HMGP,2023,4720.0,WASHINGTON,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Approved,Statewide,2024-11-14T00:00:00.000Z,316721.0,237540.75,0.75,0.0,0.0,1,1,1.0,acquisition,True,False,False,False,False,False,False,False,False,False,237540.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237540.75,237540.75,,statewide
DR-4720-0069-R,HMGP,2023,4720.0,WASHINGTON,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Approved,Statewide,2025-04-21T00:00:00.000Z,354357.0,265767.75,0.75,0.0,0.0,1,1,1.0,acquisition,True,False,False,False,False,False,False,False,False,False,265767.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265767.75,265767.75,,statewide
DR-4720-0043-R,HMGP,2023,4720.0,WASHINGTON,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Approved,Statewide,2024-11-14T00:00:00.000Z,162644.0,121983.0,0.75,0.0,0.0,1,1,1.0,acquisition,True,False,False,False,False,False,False,False,False,False,121983.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121983.0,121983.0,,statewide
DR-4022-0109-R,HMGP,2011,4022.0,WASHINGTON,202.1: Elevation of Private Structures - Riverine,Closed,Waterbury (Town of),2016-05-11T00:00:00.000Z,0.0,0.0,0.75,0.0,0.0,0,1,1.0,elevation,False,False,False,False,False,False,False,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,WATERBURY TOWN,local
DR-4720-0062-R,HMGP,2023,4720.0,WASHINGTON,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Approved,Statewide,2025-01-02T00:00:00.000Z,1302932.0,977199.0,0.75,0.0,0.0,3,3,1.0,acquisition,True,False,False,False,False,False,False,False,False,False,977199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325733.0,325733.0,,statewide
DR-4022-0124-R,HMGP,2011,4022.0,WASHINGTON,403.1: Stormwater Management - Culverts,Closed,Cabot (Town of),2024-06-06T00:00:00.000Z,104618.74,78464.05,0.75,1.05,193059.0,0,0,1.0,stormwater_culverts,False,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,78464.05,0.0,0.0,0.0,,,CABOT TOWN,local
DR-4022-0100-R,HMGP,2011,4022.0,WASHINGTON,204.3: Dry Floodproofing Public Structures - Riverine,Closed,Warren (Town of),2022-09-21T00:00:00.000Z,6293.36,4720.02,0.75,4.15,464119.0,1,1,1.0,dry_floodproofing,False,False,False,False,False,False,False,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4720.02,4720.02,4720.02,WARREN TOWN,local
DR-4022-0065-R,HMGP,2011,4022.0,WASHINGTON,403.1: Stormwater Management - Culverts,Closed,Barre,2022-05-23T00:00:00.000Z,0.0,0.0,0.75,2.75,444619.0,0,0,1.0,stormwater_culverts,False,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,AMBIGUOUS: BARRE,local
DR-4720-0035-R,HMGP,2023,4720.0,WASHINGTON,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Approved,Statewide,2024-10-01T00:00:00.000Z,322438.0,241828.5,0.75,0.0,0.0,0,1,1.0,acquisition,True,False,False,False,False,False,False,False,False,False,241828.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241828.5,,,statewide
DR-4022-0056-R,HMGP,2011,4022.0,WASHINGTON,200.3: Acquisition of Public Real Property (Structures and Land) - Riverine,Closed,MORETOWN TOWN CLERK,2016-05-11T00:00:00.000Z,0.0,0.0,0.75,0.0,0.0,0,1,1.0,acquisition,True,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,MORETOWN TOWN,local
DR-4163-0009-F,HMGP,2014,4163.0,RUTLAND,"600.1: Warning Systems (as a Component of a Planned, Adopted, and Exercised Risk Reduction Plan)",Closed,Chittenden (County),2022-08-25T00:00:00.000Z,38595.8,28570.8,0.74,0.0,0.0,0,0,0.0,warning_systems,False,False,False,True,False,False,False,False,False,False,0.0,0.0,0.0,28570.8,0.0,0.0,0.0,0.0,0.0,0.0,,,,regional
DR-4720-0034-R,HMGP,2023,4720.0,WASHINGTON,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Approved,Statewide,2024-10-02T00:00:00.000Z,858500.0,643875.0,0.75,0.0,0.0,1,3,1.0,acquisition,True,False,False,False,False,False,False,False,False,False,643875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214625.0,643875.0,,statewide
DR-4720-0023-R,HMGP,2023,4720.0,WASHINGTON,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Approved,Marshfield (Town of),2024-10-02T00:00:00.000Z,803500.0,602625.0,0.75,0.0,0.0,0,2,1.0,acquisition,True,False,False,False,False,False,False,False,False,False,602625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301312.5,,MARSHFIELD TOWN,local
DR-4720-0067-R,HMGP,2023,4720.0,WASHINGTON,201.1: Relocation of Private Structures - Riverine,Approved,Statewide,2025-04-21T00:00:00.000Z,430599.0,322949.25,0.75,0.0,0.0,2,2,1.0,relocation,True,False,False,False,False,False,False,False,False,False,322949.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161474.625,161474.625,,statewide
DR-4720-0070,HMGP,2023,4720.0,WASHINGTON,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Pending,Statewide,,491888.0,,0.75,0.0,0.0,1,1,1.0,acquisition,True,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,statewide
DR-4330-0007-R,HMGP,2017,4330.0,WASHINGTON,601.2: Generators - Regular,Closed,Marshfield (Town of),2022-12-17T00:00:00.000Z,56731.5,42548.63,0.75,1.08,70189.0,0,0,0.0,generators,False,False,False,True,False,False,False,False,False,False,0.0,0.0,0.0,42548.63,0.0,0.0,0.0,0.0,0.0,0.0,,,MARSHFIELD TOWN,local
DR-4720-0019-R,HMGP,2023,4720.0,WASHINGTON,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Approved,Waterbury (Town of),2024-10-02T00:00:00.000Z,828900.0,621675.0,0.75,0.0,0.0,0,2,1.0,acquisition,True,False,False,False,False,False,False,False,False,False,621675.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310837.5,,WATERBURY TOWN,local
DR-4720-0036-R,HMGP,2023,4720.0,WASHINGTON,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Approved,Statewide,2024-12-16T00:00:00.000Z,595030.0,446272.5,0.75,0.0,0.0,1,1,1.0,acquisition,True,False,False,False,False,False,False,False,False,False,446272.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,446272.5,446272.5,,statewide
DR-4207-0004-R,HMGP,2015,4207.0,WASHINGTON,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Closed,Barre,2019-05-21T00:00:00.000Z,85657.0,64243.17,0.75,0.0,0.0,1,1,1.0,acquisition,True,False,False,False,False,False,False,False,False,False,64243.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64243.17,64243.17,AMBIGUOUS: BARRE,local
DR-4022-0024-R,HMGP,2011,4022.0,WASHINGTON,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Closed,Northfield (Town of),2018-04-05T00:00:00.000Z,668154.0,501115.0,0.75,0.0,0.0,7,7,1.0,acquisition,True,False,False,False,False,False,False,False,False,False,501115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71587.85714285714,71587.85714285714,NORTHFIELD TOWN,local
DR-1790-0004-R,HMGP,2008,1790.0,WASHINGTON,403.1: Stormwater Management - Culverts,Closed,Moretown (Town of),2011-03-02T00:00:00.000Z,33708.0,25281.0,0.75,1.09,60000.0,0,0,1.0,stormwater_culverts,False,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,25281.0,0.0,0.0,0.0,,,MORETOWN TOWN,local
DR-4022-0070-R,HMGP,2011,4022.0,RUTLAND,403.1: Stormwater Management - Culverts,Closed,Pawlet,2018-04-05T00:00:00.000Z,74075.0,55556.0,0.75,1.09,89544.0,0,0,1.0,stormwater_culverts,False,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,55556.0,0.0,0.0,0.0,,,PAWLET TOWN,local
DR-4022-0004-R,HMGP,2011,4022.0,RUTLAND,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Closed,Brandon (Town of),2017-12-28T00:00:00.000Z,125140.0,93855.0,0.75,0.0,0.0,1,1,1.0,acquisition,True,False,False,False,False,False,False,False,False,False,93855.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93855.0,93855.0,BRANDON TOWN,local
DR-1790-0003-R,HMGP,2008,1790.0,WASHINGTON,403.1: Stormwater Management - Culverts,Closed,Northfield (Town of),2011-03-02T00:00:00.000Z,303729.0,227797.0,0.75,1.36,423542.0,0,0,1.0,stormwater_culverts,False,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,227797.0,0.0,0.0,0.0,,,NORTHFIELD TOWN,local
DR-4022-0069-R,HMGP,2011,4022.0,RUTLAND,403.1: Stormwater Management - Culverts,Closed,Pawlet,2018-04-05T00:00:00.000Z,90186.0,67639.0,0.75,1.09,101297.0,0,0,1.0,stormwater_culverts,False,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,67639.0,0.0,0.0,0.0,,,PAWLET TOWN,local
DR-4816-0002,HMGP,2024,4816.0,WASHINGTON,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Pending,Statewide,,268450.0,,0.75,0.0,0.0,1,1,1.0,acquisition,True,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,statewide
DR-1951-0001-R,HMGP,2011,1951.0,RUTLAND,403.1: Stormwater Management - Culverts,Closed,Pawlet,2012-02-21T00:00:00.000Z,68575.0,31184.0,0.75,1.21,85783.0,0,0,1.0,stormwater_culverts,False,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,31184.0,0.0,0.0,0.0,,,PAWLET TOWN,local
DR-4532-0008-R,HMGP,2020,4532.0,WASHINGTON,303.2: Floodplain and Stream Restoration,Approved,Northfield (Town of),2026-01-23T00:00:00.000Z,744963.0,87930.0,0.9,2.51,2114793.0,0,0,1.0,floodplain_restoration,False,False,True,False,False,False,False,False,False,False,0.0,0.0,87930.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,NORTHFIELD TOWN,local
PDMC-PL-01-VT-2005-004,PDM,2005,,WASHINGTON,91.1: Local Multihazard Mitigation Plan,Closed,Norwich University,2005-09-06T00:00:00.000Z,55128.15,41346.11,0.75,,,0,0,0.0,local_mitigation_planning,False,False,False,False,False,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41346.11,0.0,,,NORTHFIELD TOWN,local
DR-4532-0013-R,HMGP,2020,4532.0,WASHINGTON,402.1: Infrastructure Protective Measures (Roads and Bridges),Approved,Warren (Town of),2024-04-03T00:00:00.000Z,230232.25,207209.03,0.9,1.42,353329.0,0,0,1.0,roads_bridges_protection,False,False,False,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,207209.03,0.0,0.0,0.0,0.0,,,WARREN TOWN,local
DR-4022-0096-R,HMGP,2011,4022.0,RUTLAND,403.1: Stormwater Management - Culverts,Closed,Pawlet (Town of),2023-07-07T00:00:00.000Z,81912.26,61434.2,0.75,1.13,104559.0,0,0,1.0,stormwater_culverts,False,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,61434.2,0.0,0.0,0.0,,,PAWLET TOWN,local
DR-4022-0152-R,HMGP,2011,4022.0,WASHINGTON,601.2: Generators - Regular,Closed,Marshfield (Town of),2023-09-19T00:00:00.000Z,10199.51,7649.63,0.75,1.13,17579.0,0,0,0.0,generators,False,False,False,True,False,False,False,False,False,False,0.0,0.0,0.0,7649.63,0.0,0.0,0.0,0.0,0.0,0.0,,,MARSHFIELD TOWN,local
DR-4720-0096-R,HMGP,2023,4720.0,WASHINGTON,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Closed,Statewide,2026-01-26T00:00:00.000Z,0.0,0.0,0.75,0.0,0.0,1,1,1.0,acquisition,True,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,statewide
DR-1228-0014-R,HMGP,1998,1228.0,WASHINGTON,403.1: Stormwater Management - Culverts,Closed,Warren (Town of ),2000-02-11T00:00:00.000Z,10581.0,7935.0,0.75,1.16,12318.0,0,0,1.0,stormwater_culverts,False,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,7935.0,0.0,0.0,0.0,,,WARREN TOWN,local
DR-1228-0011-R,HMGP,1998,1228.0,RUTLAND,"301.1: Shoreline Stabilization (Riprap, etc.)",Closed,RUTLAND (TOWN OF ),2000-03-21T00:00:00.000Z,0.0,0.0,0.0,1.79,44720.0,0,0,1.0,shoreline_stabilization,False,False,True,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,RUTLAND TOWN,local
DR-4022-0117-R,HMGP,2011,4022.0,RUTLAND,601.2: Generators - Regular,Closed,Rutland,2023-07-20T00:00:00.000Z,89690.0,66750.0,0.74,1.13,104101.0,0,0,0.0,generators,False,False,False,True,False,False,False,False,False,False,0.0,0.0,0.0,66750.0,0.0,0.0,0.0,0.0,0.0,0.0,,,AMBIGUOUS: RUTLAND,local
DR-4022-0040-R,HMGP,2011,4022.0,WASHINGTON,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Closed,Northfield (Town of),2023-11-07T00:00:00.000Z,814954.38,611215.79,0.75,0.0,0.0,6,6,1.0,acquisition,True,False,False,False,False,False,False,False,False,False,611215.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101869.29833333334,101869.29833333334,NORTHFIELD TOWN,local
DR-0990-0002-R,HMGP,1993,990.0,WASHINGTON,203.3: Wet Floodproofing Public Structures - Riverine,Closed,MONTPELIER,1997-04-17T00:00:00.000Z,82645.0,37645.0,0.46,0.0,0.0,0,1,1.0,wet_floodproofing,False,False,False,False,False,False,False,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37645.0,37645.0,,MONTPELIER CITY,local
DR-9005-0008-R,PDM,2000,9005.0,RUTLAND,90.4: Mitigation Plan - Local Multihazard Mitigation Plan,Closed,,2002-08-12T00:00:00.000Z,21800.0,13700.0,0.63,0.0,0.0,0,0,0.0,local_mitigation_planning,False,False,False,False,False,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13700.0,0.0,,,,unknown
DR-4022-0103-R,HMGP,2011,4022.0,WASHINGTON,403.1: Stormwater Management - Culverts,Closed,Cabot (Town of),2023-11-03T00:00:00.000Z,326835.5,245126.62,0.75,1.01,399090.0,0,0,1.0,stormwater_culverts,False,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,245126.62,0.0,0.0,0.0,,,CABOT TOWN,local
DR-4022-0064-R,HMGP,2011,4022.0,WASHINGTON,403.1: Stormwater Management - Culverts,Closed,Barre,2023-08-18T00:00:00.000Z,246100.33,184575.25,0.75,4.91,782226.0,0,0,1.0,stormwater_culverts,False,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,184575.25,0.0,0.0,0.0,,,AMBIGUOUS: BARRE,local
DR-4022-0107-R,HMGP,2011,4022.0,WASHINGTON,601.1: Generators,Closed,Warren (Town of),2022-12-01T00:00:00.000Z,8496.47,6005.0,0.71,1.13,9047.0,0,0,0.0,generators,False,False,False,True,False,False,False,False,False,False,0.0,0.0,0.0,6005.0,0.0,0.0,0.0,0.0,0.0,0.0,,,WARREN TOWN,local
DR-1184-0021-R,HMGP,1997,1184.0,RUTLAND,"301.1: Shoreline Stabilization (Riprap, etc.)",Closed,RUTLAND (TOWN OF ),2000-03-21T00:00:00.000Z,0.0,0.0,0.0,1.79,44720.0,0,0,1.0,shoreline_stabilization,False,False,True,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,RUTLAND TOWN,local
DR-1228-0019-R,HMGP,1998,1228.0,RUTLAND,403.1: Stormwater Management - Culverts,Closed,"Castleton, Town of",2001-01-30T00:00:00.000Z,56809.0,42606.0,0.75,1.22,69379.0,0,0,1.0,stormwater_culverts,False,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,42606.0,0.0,0.0,0.0,,,CASTLETON TOWN,local
DR-4022-0053-R,HMGP,2011,4022.0,WASHINGTON,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Closed,Northfield (Town of),2023-05-03T00:00:00.000Z,83472.26,62604.19,0.75,0.0,0.0,1,1,1.0,acquisition,True,False,False,False,False,False,False,False,False,False,62604.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62604.19,62604.19,NORTHFIELD TOWN,local
DR-4022-0038-R,HMGP,2011,4022.0,WASHINGTON,403.1: Stormwater Management - Culverts,Closed,Barre (Town of),2023-11-02T00:00:00.000Z,81510.0,61132.5,0.75,3.56,366104.0,0,0,1.0,stormwater_culverts,False,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,61132.5,0.0,0.0,0.0,,,BARRE TOWN,local
DR-4022-0108-R,HMGP,2011,4022.0,WASHINGTON,601.1: Generators,Closed,Warren (Town of),2022-12-07T00:00:00.000Z,7348.94,5089.0,0.69,1.13,7667.0,0,0,0.0,generators,False,False,False,True,False,False,False,False,False,False,0.0,0.0,0.0,5089.0,0.0,0.0,0.0,0.0,0.0,0.0,,,WARREN TOWN,local
DR-1816-0001-R,HMGP,2009,1816.0,WASHINGTON,403.1: Stormwater Management - Culverts,Closed,Warren (Town of),2013-01-16T00:00:00.000Z,33989.0,25493.0,0.75,1.92,105589.0,0,0,1.0,stormwater_culverts,False,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,25493.0,0.0,0.0,0.0,,,WARREN TOWN,local
DR-0840-0003-R,HMGP,1989,840.0,WASHINGTON,203.1: Wet Floodproofing Private Structures - Riverine,Closed,MONTPELIER,1993-05-12T00:00:00.000Z,89430.0,44715.0,0.5,0.0,0.0,5,5,1.0,wet_floodproofing,False,False,False,False,False,False,False,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44715.0,8943.0,8943.0,MONTPELIER CITY,local
DR-4532-0006-R,HMGP,2020,4532.0,WASHINGTON,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Approved,Northfield (Town of),2023-06-29T00:00:00.000Z,309790.0,261811.0,0.9,1.03,323000.0,1,1,1.0,acquisition,True,False,False,False,False,False,False,False,False,False,261811.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261811.0,261811.0,NORTHFIELD TOWN,local
DR-4022-0092-R,HMGP,2011,4022.0,RUTLAND,403.1: Stormwater Management - Culverts,Closed,Brandon (Town of),2023-11-20T00:00:00.000Z,2486654.37,1864690.75,0.75,1.62,3319401.0,0,0,1.0,stormwater_culverts,False,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,1864690.75,0.0,0.0,0.0,,,BRANDON TOWN,local
DR-4207-0005-R,HMGP,2015,4207.0,WASHINGTON,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Closed,Barre,2019-05-30T00:00:00.000Z,73453.0,55090.16,0.75,0.0,0.0,1,1,1.0,acquisition,True,False,False,False,False,False,False,False,False,False,55090.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55090.16,55090.16,AMBIGUOUS: BARRE,local
DR-4022-0016-R,HMGP,2011,4022.0,RUTLAND,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Closed,Pittsfield (Town of),2023-11-08T00:00:00.000Z,547101.4,410326.05,0.75,0.0,0.0,4,4,1.0,acquisition,True,False,False,False,False,False,False,False,False,False,410326.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102581.5125,102581.5125,PITTSFIELD TOWN,local
DR-4022-0048-R,HMGP,2011,4022.0,WASHINGTON,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Closed,Duxbury,2015-05-20T00:00:00.000Z,174248.0,130686.0,0.75,0.0,0.0,1,1,1.0,acquisition,True,False,False,False,False,False,False,False,False,False,130686.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130686.0,130686.0,DUXBURY TOWN,local
DR-4022-0077-R,HMGP,2011,4022.0,WASHINGTON,202.1: Elevation of Private Structures - Riverine,Closed,Northfield (Town of),2014-07-16T00:00:00.000Z,140200.0,0.0,0.75,0.0,0.0,1,1,1.0,elevation,False,False,False,False,False,False,False,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORTHFIELD TOWN,local
DR-4022-0097-R,HMGP,2011,4022.0,RUTLAND,403.1: Stormwater Management - Culverts,Closed,Pawlet,2014-11-10T00:00:00.000Z,96078.0,72059.0,0.75,1.08,105936.0,0,0,1.0,stormwater_culverts,False,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,72059.0,0.0,0.0,0.0,,,PAWLET TOWN,local
DR-4022-0042-R,HMGP,2011,4022.0,RUTLAND,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Closed,Clarendon (Town of),2023-11-01T00:00:00.000Z,41543.69,25630.5,0.62,1.7,135800.0,1,1,1.0,acquisition,True,False,False,False,False,False,False,False,False,False,25630.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25630.5,25630.5,CLARENDON TOWN,local
DR-4022-0112-R,HMGP,2011,4022.0,WASHINGTON,202.1: Elevation of Private Structures - Riverine,Closed,Moretown (Town of),2023-12-06T00:00:00.000Z,123812.88,92858.15,0.75,1.01,125299.0,1,1,1.0,elevation,False,False,False,False,False,False,False,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92858.15,92858.15,92858.15,MORETOWN TOWN,local
DR-4022-0049-R,HMGP,2011,4022.0,WASHINGTON,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Closed,Berlin (Town of),2015-05-15T00:00:00.000Z,184121.0,138091.0,0.75,0.0,0.0,1,1,1.0,acquisition,True,False,False,False,False,False,False,False,False,False,138091.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138091.0,138091.0,BERLIN TOWN,local
DR-0840-0001-R,HMGP,1989,840.0,WASHINGTON,403.1: Stormwater Management - Culverts,Closed,TOWN OF BERLIN,1991-01-04T00:00:00.000Z,40000.0,20000.0,0.5,0.0,0.0,0,0,1.0,stormwater_culverts,False,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,0.0,,,BERLIN TOWN,local
DR-4022-0057-R,HMGP,2011,4022.0,WASHINGTON,200.3: Acquisition of Public Real Property (Structures and Land) - Riverine,Closed,Statewide,2014-07-11T00:00:00.000Z,248349.0,186262.0,0.75,2.65,657475.0,5,5,1.0,acquisition,True,False,False,False,False,False,False,False,False,False,186262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37252.4,37252.4,,statewide
DR-4720-0065-R,HMGP,2023,4720.0,WASHINGTON,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Approved,Statewide,2025-04-21T00:00:00.000Z,545500.0,409125.0,0.75,1.0,1.0,1,1,1.0,acquisition,True,False,False,False,False,False,False,False,False,False,409125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409125.0,409125.0,,statewide
DR-4232-0003-R,HMGP,2015,4232.0,WASHINGTON,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Closed,Barre,2018-11-06T00:00:00.000Z,93894.0,70420.32,0.75,0.0,0.0,1,1,1.0,acquisition,True,False,False,False,False,False,False,False,False,False,70420.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70420.32,70420.32,AMBIGUOUS: BARRE,local
DR-4022-0098-R,HMGP,2011,4022.0,RUTLAND,403.1: Stormwater Management - Culverts,Closed,Pawlet,2014-11-10T00:00:00.000Z,85000.0,63750.0,0.75,1.18,101568.0,0,0,1.0,stormwater_culverts,False,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,63750.0,0.0,0.0,0.0,,,PAWLET TOWN,local
PDMC-PL-01-VT-2018-005,PDM,2018,,RUTLAND,904.2: Advance Assistance (FMA and PDMC),Not Approved / Denied,"Town of Danby, Vermont",,30945.0,,0.9,,,0,0,0.0,technical_assistance,False,False,False,False,False,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,DANBY TOWN,local
DR-4022-0125-R,HMGP,2011,4022.0,RUTLAND,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Closed,Brandon (Town of),2017-04-17T00:00:00.000Z,166527.0,124895.0,0.75,0.0,0.0,1,1,1.0,acquisition,True,False,False,False,False,False,False,False,False,False,124895.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124895.0,124895.0,BRANDON TOWN,local
DR-4022-0071-R,HMGP,2011,4022.0,RUTLAND,403.1: Stormwater Management - Culverts,Closed,Pawlet,2018-04-05T00:00:00.000Z,82326.0,61744.0,0.75,1.65,204637.0,0,0,1.0,stormwater_culverts,False,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,61744.0,0.0,0.0,0.0,,,PAWLET TOWN,local
DR-1184-0007-R,HMGP,1997,1184.0,RUTLAND,403.1: Stormwater Management - Culverts,Withdrawn,"Poultney, Town of ",,,,,,,0,0,1.0,stormwater_culverts,False,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,POULTNEY TOWN,local
