GEOID,NAME,NAMELSAD,ALAND,AWATER,town_area_sqm,pct_river_corridor,pct_high_risk_NFHL
5002157250,Proctor,Proctor town,19203951,434228,19638176.0,12.042715377307223,15.634356107599798
5002147425,Mount Tabor,Mount Tabor town,114239500,371441,114610982.0,2.982774593145332,2.2962715654617196
5002161300,Rutland,Rutland town,49352876,457034,49809811.0,7.180736780176601,10.026406348917495
5002180875,West Haven,West Haven town,72838833,1675200,74514019.0,5.843709623415661,13.34540280992423
5002565762,Somerset,Somerset town,65607721,5895000,71502732.0,3.741458054843834,8.710616934319285
5002570750,Stratton,Stratton town,119210164,1907452,121117646.0,1.167340931538197,1.481852348451933
5002573300,Townshend,Townshend town,109511616,1162294,110673923.0,4.512824863657149,3.4541401503819076
5002583950,Whitingham,Whitingham town,95204651,6042643,101247305.0,1.2923265343638701,6.539354816757193
5002584700,Wilmington,Wilmington town,104766008,5204751,109970750.0,3.029127204471748,6.837965568151533
5002303175,Barre,Barre city,10327567,83565,10411139.0,9.791220775211833,9.184906677313887
5002321925,East Montpelier,East Montpelier town,82227291,659922,82887226.0,4.578437528601112,5.58598058259836
5002325825,Fayston,Fayston town,94551006,22418,94573413.0,1.6237848220020217,0.320170973546474
5002343600,Marshfield,Marshfield town,112174794,1093674,113268462.0,3.4936120358921565,4.790531019796779
5002305650,Berlin,Berlin town,93344945,1764960,95109940.0,4.257283675436794,5.203611410377997
5000571575,Sutton,Sutton town,99192364,504773,99697143.0,2.0225878191741304,0.0
5000575700,Walden,Walden town,100028451,919378,100947895.0,2.118208052919111,5.521612830209697e-05
5000583500,Wheelock,Wheelock town,102314218,831858,103146091.0,1.4913659379921296,0.0
5000116000,Cornwall,Cornwall town,73990773,439832,74430607.0,3.9370105718395014,0.0
5000129575,Granville,Granville town,131792676,253918,132046612.0,1.997685837814514,0.0
5000131525,Hancock,Hancock town,99657749,278253,99936002.0,2.0248901045106984,0.0
5000144350,Middlebury,Middlebury town,101608656,1021342,102630000.0,6.418684222981971,0.0
5000145550,Monkton,Monkton town,92963471,973113,93936556.0,2.80994210589439,2.3342274507981804e-05
5002318550,Duxbury,Duxbury town,111285314,528986,111814330.0,2.853961480637399,1.6541001485884226
5000176075,Waltham,Waltham town,23610483,305013,23915498.0,8.14546155800925,0.0
5000100325,Addison,Addison town,107710362,19168382,126878736.0,3.2029443098973385,0.0
