"GEO_ID","NAME","B25035_001E","B25035_001M",
"Geography","Geographic Area Name","Estimate!!Median year structure built","Margin of Error!!Median year structure built",
"0600000US5002573300","Townshend town, Windham County, Vermont","1982","5",
"0600000US5002574800","Vernon town, Windham County, Vermont","1979","3",
"0600000US5002576225","Wardsboro town, Windham County, Vermont","1978","3",
"0600000US5002581400","Westminster town, Windham County, Vermont","1980","7",
"0600000US5002583950","Whitingham town, Windham County, Vermont","1974","4",
"0600000US5002584700","Wilmington town, Windham County, Vermont","1975","3",
"0600000US5002584850","Windham town, Windham County, Vermont","1982","4",
"0600000US5002701300","Andover town, Windsor County, Vermont","1980","5",
"0600000US5002702575","Baltimore town, Windsor County, Vermont","1977","10",
"0600000US5002702725","Barnard town, Windsor County, Vermont","1971","8",
"0600000US5002705800","Bethel town, Windsor County, Vermont","1966","8",
"0600000US5002708275","Bridgewater town, Windsor County, Vermont","1976","4",
"0600000US5002712250","Cavendish town, Windsor County, Vermont","1968","10",
"0600000US5002713675","Chester town, Windsor County, Vermont","1972","8",
"0600000US5002732275","Hartford town, Windsor County, Vermont","1979","2",
"0600000US5002732425","Hartland town, Windsor County, Vermont","1971","6",
"0600000US5002741275","Ludlow town, Windsor County, Vermont","1982","2",
"0600000US5002752900","Norwich town, Windsor County, Vermont","1982","3",
"0600000US5002756050","Plymouth town, Windsor County, Vermont","1980","3",
"0600000US5002756350","Pomfret town, Windsor County, Vermont","1970","6",
"0600000US5002758375","Reading town, Windsor County, Vermont","1969","9",
"0600000US5002760100","Rochester town, Windsor County, Vermont","1967","5",
"0600000US5002760850","Royalton town, Windsor County, Vermont","1965","7",
"0600000US5002763775","Sharon town, Windsor County, Vermont","1981","4",
"0600000US5002769550","Springfield town, Windsor County, Vermont","1958","5",
"0600000US5002770375","Stockbridge town, Windsor County, Vermont","1977","4",
"0600000US5002777500","Weathersfield town, Windsor County, Vermont","1978","4",
"0600000US5002782000","Weston town, Windsor County, Vermont","1969","7",
"0600000US5002783050","West Windsor town, Windsor County, Vermont","1980","3",
"0600000US5002784925","Windsor town, Windsor County, Vermont","1945","7",
"0600000US5002785975","Woodstock town, Windsor County, Vermont","1958","17",
